๏ ฝ่ายฝรั่งลังกาพวกข้าศึก	ล้วนเหิมฮึกห้าวหาญชาญสนาม
ที่บอบช้ำลำบากยังมากนัก	ให้หมอรักษาทั่วทุกตัวคน
บ้างปิดยาทาน้ำมันสามวันหาย	ที่เจ้าตายต่างกลับไปสับสน
ที่ตั้งอยู่สู้รบสมทบพล	ต่างคิดกลการศึกยังตรึกตรา ฯ
๏ ฝ่ายสุวรรณมาลีศรีสวัสดิ์	ถึงปรางค์รัตน์เร้ารวดปวดอังสา
ให้หมอแก้แผลกำซาบซึ่งอาบยา	เอามีดผ่าขูดกระดูกที่ถูกพิษ
เป่าน้ำมันกันแก้ตรงแผลเจ็บ	เอาเข็มเย็บยุดตรึงขี้ผึ้งปิด
ทั้งข้างนอกพอกยาสุรามฤต	ให้ถอนพิษผ่อนปรนพอทนทาน ฯ
๏ จะกล่าวศรีสุวรรณวงศ์ทรงสวัสดิ์	อยู่กรุงรัตนพารามหาสถาน
ครั้นเรือใช้ไปแถลงให้แจ้งการณ์	พากุมารสินสมุทรรีบรุดมา
แวะเข้าส่งองค์อรุณที่รมจักร	พอผ่อนพักพบพงศ์พระวงศา
แล้วรับพราหมณ์สามนายบ่ายนาวา	ออกแล่นมาตามคลื่นทุกคืนวัน
พอจวนเย็นเป็นพายุพยับฝน	ให้มัวมนมืดสิ้นดินสวรรค์
คลื่นระดมลมกล้าสลาตัน	ตีกำปั่นซัดไปเป็นหลายคืน
ครั้นลมหายสายแสงแจ้งกระจ่าง	เห็นเกาะกลางสมุทรไทใหญ่ทะมื่น
ทอดสมอรอราสัญญาปืน	ขึ้นหาฟืนหาน้ำทั่วลำเรือ
พอสิงโตโฮ่โฮกกระโชกไล่	ทั้งสูงใหญ่มหึมายิ่งกว่าเสือ
ตาถลนขนหุ้มดูคลุมเครือ	ทหารเรือรบสิงห์ยิงด้วยปืน
เสียงดังตึงปึงถูกลูกลู่ล่อน	มันถีบถอนโถมถลาไล่ฝ่าฝืน
คำรามร้องก้องกึกเสียงครึกครื้น	ทหารตื่นแตกวิ่งเป็นสิงคลี
มันไล่คาบดาบหอกกระบอกน้ำ	ขบขย้ำย่อยยับดังสับสี
เห็นผู้คนพลไพร่ไล่คะยี	ทหารหนีสิงโตโผลงน้ำ
มันโดดตามหวามว่ายสายสมุทร	เห็นคนผุดโผนตบขบขย้ำ
พวกโยธีรี้พลเที่ยวด้นดำ	จนถึงกำปั่นใหญ่ในคงคา
สินสมุทรผุดลุกขึ้นแลเห็น	สิงโตเผ่นโผนไล่ไวหนักหนา
มิทันเปลื้องเครื่องทรงอลงการ์	โลดถลาลงในน้ำปล้ำสิงโต
มันรับรบขบกัดพระฟัดฟาด	พระฉวยพลาดพลิ้วโจนกลับโผนโผ
ขึ้นขี่หลังนั่งยองยองร้องโยโย	อ้ายสิงโตตัวฉลาดขึ้นหาดทราย
โลดสลัดพลัดตกพระหกล้ม	มันกัดกลมกลิ้งคว่ำคะมำหงาย
ทั้งเล็บเขี้ยวเคี้ยวขย้ำจนน้ำลาย	ลงโซมกายกอดปล้ำด้วยกำลัง
พระดิ้นหลุดฉุดหางไม่วางหัตถ์	กอดถนัดเหนี่ยวขนขึ้นบนหลัง
สิงโตร้องก้องเสียงสำเนียงดัง	ทั้งลูกทั้งเมียสิงห์มันวิ่งมา
เขย่งเต้นเผ่นโผนจะโจนกัด	หน่อกษัตริย์หลบโลดโดดถลา
ลงในน้ำดำไล่จับได้ปลา	กลับขึ้นมาเสกทิ้งให้สิงโต
มันกินหมดรสรื่นค่อยชื่นจิต	มิได้คิดทำร้ายหายโมโห
พระเป่ามนต์ประสมจิตอิศโร	เรียกสิงโตเต้นเข้ามาหาทุกตัว
จึงเสกน้ำซ้ำประศีรษะให้	แล้วลูบไล้สารพางค์ทั้งหางหัว
มันลามเลียเคลียเคล้าด้วยเมามัว	แต่ละตัวตาช่วงดังดวงดาว
ลูกทั้งคู่ผู้เมียเตี้ยตุบหลุบ	มาหมอบฟุบฟอกสีสำลีขาว
ตัวพ่อแม่แลลายดูพรายพราว	ล้วนเล็บยาวเป็นทองแดงยิ่งแรงครัน
ทั้งเขียวสุกทุกตัวสลัวเหลือง	เอาไปเมืองจะได้ขี่ดีขยัน
แล้วจูงลงคงคามาด้วยกัน	ขึ้นกำปั่นไปเฝ้าพระเจ้าอา
ฉันได้สิงห์ยิงฟันมันไม่เข้า	จะพาเอาไปบุรีดีหนักหนา
ศรีสุวรรณสรรเสริญพระนัดดา	พอเวลาลมดีให้คลี่ใบ
ออกกำปั่นพันร้อยเที่ยวลอยแล่น	ไปตามแผนที่ทางหว่างไศล
ทุกเช้าเย็นเห็นแต่ฟ้าชลาลัย	กำหนดได้เจ็ดเดือนไม่เคลื่อนคลา
เข้าเขตคุ้งกรุงผลึกเสียงครึกครื้น	ยังดึกดื่นดูฝั่งก็กังขา
ข้าศึกติดทิศใต้ชายชลา	เห็นสีฟ้าเผือดแดงดังแสงไฟ
ถึงปากอ่าวเช้าตรู่ก็รู้เรื่อง	พวกชาวเมืองออกมาแจ้งแถลงไข
ว่าศึกยังตั้งประชิดติดเวียงชัย	พระตกใจรีบมาถึงธานี
หยุดประทับยับยั้งอยู่ข้างหน้า	แจ้งกิจจาไปถึงพระมเหสี
ให้สุรางค์นางกำนัลไปอัญชลี	เชิญมาที่ปรางค์รัตน์กษัตรา
ศรีสุวรรณนั้นคำนับนางรับหัตถ์	หน่อกษัตริย์บังคมก้มเกศา
นางเล่าความตามเรื่องเมืองลังกา	แต่ยกมาทำสงครามถึงสามครั้ง
อันคราวนี้มิรู้จะสู้รบ	ศึกตลบซ้ายขวาทั้งหน้าหลัง
พระปิ่นปักนัคเรศนิเวศน์วัง	ก็คลุ้มคลั่งเคล้ากระดาษไม่ขาดวัน
ข้าออกรบพบทัพสัประยุทธ์	ต้องอาวุธที่อังสาแทบอาสัญ
หากโอรสยศยงของทรงธรรม์	ช่วยป้องกันตัวข้าเข้าธานี
แล้วเล่าความตามสุดสาครเล่า	จะขอเฝ้าประณตบทศรี
เดี๋ยวนี้ยังตั้งทัพรับไพรี	อยู่ข้างที่ท้องทุ่งนอกกรุงไกร ฯ
๏ สินสมุทรสุดรักพระอัคเรศ	ชลเนตรซึมโซมชโลมไหล
แล้วทูลว่าข้าพระบาทประมาทใจ	หมายว่าไม่มีศัตรูจึงอยู่นาน
จนพระองค์สงครามถึงสามครั้ง	แล้วต้องทั้งศัสตราน่าสงสาร
กันแสงพลางนางพระยาบัญชาการ	ชวนกุมารกับพระน้องเข้าห้องใน
เห็นทรงธรรม์บรรทมชมแต่รูป	จนซีดซูบเศร้าหมองไม่ผ่องใส
เข้าหมอบเมียงเคียงบัลลังก์กระทั่งไอ	พระอภัยเหลียวมาเห็นหน้าน้อง
กับลูกรักอัคเรศสังเกตแน่	แต่แลแลหมกมุ่นให้ขุ่นหมอง
กลับเคลิ้มเห็นเป็นว่าพากันมามอง	พิโรธร้องเรียกสาวใช้ให้ไสคอ ฯ
๏ ศรีสุวรรณครั้นเห็นพี่วิปริต	ดังคมกริชกรีดฟาดให้ขาดศอ
พระชลนัยน์ไหลหลั่งลงคั่งคลอ	ระทดท้อทุกข์ใจดังไฟกาฬ
ศิโรราบกราบก้มบังคมบาท	เข้าแอบอาสน์อ้อนวอนด้วยอ่อนหวาน
น้องลับเนตรเชษฐาไปช้านาน	จึงพาหลานกลับมาถึงธานี
โอ้ไฉนไยองค์พระทรงยศ	ลืมโอรสลืมน้องทั้งสองศรี
เฝ้าโลมลูบรูปนางอยู่อย่างนี้	มิรู้ที่คิดอ่านประการใด
โอ้พระองค์ทรงเดชเกศกษัตริย์	เวรวิบัติบาปสร้างแต่ปางไหน
เมื่อยังเยาว์เล่าก็พรากจากกันไป	ไม่บรรลัยก็ได้มาเห็นหน้ากัน
แต่ครั้งนี้วิปริตผิดสังเกต	พระทรงเดชไม่รู้จักพักตร์หม่อมฉัน
พระครวญคร่ำร่ำว่าสารพัน	สะอื้นอั้นอารมณ์ไม่สมประดี ฯ
๏ สินสมุทรสุดแสนแค้นกระดาษ	เข้ากราบบาทบงกชบทศรี
สะอื้นอ้อนวอนว่าฝ่าธุลี	จะฆ่าตีก็ไม่ห้ามตามพระทัย
แต่รูปนางอย่างนี้วิปริต	เอาไว้ชิดกับพระองค์จึงหลงใหล
ลูกแค้นนักจักเอาเข้าเผาไฟ	พอฉวยได้พระบิดาก็คว้าชิง
แล้วชี้นิ้วกริ้วกราดตวาดว่า	น้อยหรือมาถูกต้องแม่น้องหญิง
พลางผลักพลัดปัจถรณ์ฉวยหมอนอิง	ไล่ทุ่มทิ้งทุบพัลวันไป
มเหสีหนีออกนอกปราสาท	ทั้งหน่อนาถน้องยาอัชฌาสัย
ต่างหยุดยั้งนั่งสะท้อนถอนฤทัย	นางนึกได้จึงแถลงแจ้งกิจจา
โหรเขาดูภูวไนยว่าไม่ม้วย	จะรอดด้วยเผ่าพงศ์พระวงศา
อันองค์สุดสาครที่จรมา	ก็บอกว่าเป็นโอรสยศไกร
ช่วยรบสู้กู้เมืองเมื่อเคืองเข็ญ	เห็นจะเป็นหน่อเนื้อในเชื้อไข
แต่วงศ์วานมารดรนครใด	ไม่แจ้งใจจึงยังให้รั้งรา ฯ
๏ ศรีสุวรรณนั้นไม่แจ้งยังแคลงจิต	ตะลึงคิดความหลังให้กังขา
พระหน่อน้อยพลอยนึกนั่งตรึกตรา	แล้วทูลว่าทราบบ้างแต่อย่างนี้
เมื่ออยู่เกาะพิสดารพระผ่านเกล้า	ไปคลึงเคล้านางมัจฉาที่พาหนี
ได้รักใคร่ไปมาอยู่กว่าปี	จนนางมีครรภ์แล้วจึงแคล้วมา
จะไปถามความดูให้รู้แน่	แม้ลูกแม่แน่ชัดนางมัจฉา
จะมีธำมรงค์ครุฑบุษรา	กับจุฑามณีที่ประทาน ฯ
๏ สองกษัตริย์ตรัสตอบว่าชอบแล้ว	แม้น้องแก้วก็จงพามาสถาน
โอรสรับกลับออกมานอกพระลาน	นายทวารกราบก้มบังคมคัล
พระพรายแพร่งแจ้งความตามรับสั่ง	แล้วขึ้นนั่งราชรถพระกลดกั้น
ตั้งแห่แหนแทนองค์พระทรงธรรม์	จรจรัลจากกรุงออกทุ่งนา
ให้ม้าใช้ไปแถลงให้แจ้งก่อน	สุดสาครแจ้งเหตุว่าเชษฐา
ความดีใจไปรับที่พลับพลา	เห็นเชษฐาลงจากรถบทจร
สมสังเกตเนตรแดงดังแสงครั่ง	มีเขี้ยวปลั่งเปล่งจำรัสประภัสสร
เหมือนคำปู่ดูแลเห็นแน่นอน	สุดสาครเชิญพระพี่ให้ลีลา ฯ
๏ หน่อนรินทร์สินสมุทรเห็นนุชน้อง	พระพักตร์ผ่องผิวอย่างนางมัจฉา
จึงหยุดยั้งนั่งประทับที่พลับพลา	พระน้องยานอบคำนับอภิวันท์
สินสมุทรสุดสวาทด้วยชาติเชื้อ	เหมือนหนึ่งเนื้อแล้วย่อมถนอมขวัญ
ทั้งเห็นแหวนแม่นยำเป็นสำคัญ	ยิ่งแม่นมั่นมิได้หมางระคางแคลง
เข้าสวมสอดกอดน้องประคองหัตถ์	หน่อกษัตริย์สององค์ทรงกันแสง
พระเชษฐาว่าพ่อดีมิเสียแรง	ช่วยต่อแย้งไพรีจนพี่มา
แล้วปราศรัยไถ่ถามกันตามซื่อ	พ่อแล้วหรือลูกแม่สุวรรณมัจฉา
น้องคำนับรับรสพจนา	พระเชษฐาซ้ำถามเนื้อความไป
อันเสนีรี้พลพหลทหาร	กับกุมารสองราอยู่หาไหน
พระน้องน้อยค่อยค่อยเล่าให้เข้าใจ	แล้วถามไถ่ถึงบิดาสารพัน ฯ
๏ สินสมุทรสุดสนิทไม่ปิดป้อง	บอกพระน้องตามจริงทุกสิ่งสรรพ์
ผีผู้หญิงสิงองค์พระทรงธรรม์	ให้ป่วนปั่นเป็นบ้าถึงนารี
ได้กระดาษวาดรูปมาจูบกอด	แล้วหลงพลอดเพลินจิตด้วยฤทธิ์ผี
พี่ชิงองค์ทรงธรรม์มาวันนี้	ฉีกขยี้มิอยากขาดประหลาดใจ ฯ
๏ อนุชาว่ากระนั้นอย่าหวั่นหวาด	แม้ปีศาจสิงแท้จะแก้ไข
ด้วยไม้เท้าเจ้าตาให้มาไว้	สำหรับไล่ผีสางปะรางควาน
แต่ผีดิบสิบโกฏิยังโดดวิ่ง	ผีผู้หญิงหรือจะอยู่สู้หม่อมฉาน
แต่คอยฟังรั้งราอยู่ช้านาน	ไม่แจ้งการเลยว่าเป็นถึงเช่นนี้ ฯ
๏ สินสมุทรยุดมือจริงหรือจ๊ะ	กระนั้นพระน้องเข้าไปช่วยไล่ผี
ทั้งจะปะพระเจ้าอาในธานี	พร้อมอยู่ที่ปราสาททั้งมาตุรงค์
หน่อนรินทร์ยินดีชลีหัตถ์	ชวนกษัตริย์ทั้งสองเข้าห้องสรง
ประดับเครื่องเรืองอร่ามทั้งสามองค์	ครั้นเสร็จทรงถือไม้เท้าของเจ้าตา
พระชวนน้องสองศรีค่อยลีลาศ	มาเฝ้าบาทบทเรศพระเชษฐา
สินสมุทรสุดสวาทนาถน้องยา	พากันมาขึ้นรถบทจร
พวกเสนาการะเวกเอกอำมาตย์	ทั้งมหาดเล็กตามหลามสลอน
พวกขุนนางแลสล้างกลางนคร	พลนิกรตรงมาหน้าพระลาน
ถึงที่เกยเคยประทับก็ยับยั้ง	พระลงยังชานชลาที่หน้าฉาน
เป็นการด่วนชวนพระน้องสองกุมาร	เลี้ยวพระลานลัดทางไปปรางค์ทอง
เห็นแสนสาวชาวแม่อยู่แออัด	กับกษัตริย์พร้อมพรั่งไปทั้งสอง
สินสมุทรนำหน้าพาพระน้อง	เข้าในห้องปรางค์มาศปราสาทชัย
ประณตนั่งบังคมก้มศิโรตม์	ด้วยมาโนชญ์หน่อนราอัชฌาสัย
นางรับขวัญสรรเสริญเจริญใจ	แล้วสอนให้ก้มเกล้าพระเจ้าอา
ศรีสุวรรณนั้นเห็นหลานสงสารนัก	ไม่ผิดพักตร์ภูวเรศพระเชษฐา
กอดประทับรับขวัญกลั้นน้ำตา	แล้วว่าอานี้ไม่รู้ด้วยอยู่ไกล
พ่อมาถึงจึงได้เห็นว่าเป็นหลาน	นั่นกุมารสองรามาแต่ไหน
เป็นลูกเต้าท้าวพระยาพาราใด	พระหน่อไททูลฉลองว่าน้องรัก
แล้วเล่าความตามมาเมืองการะเวก	ได้เป็นเอกโอรสมียศศักดิ์
พระน้องน้อยสุจริตสนิทนัก	สามิภักดิ์ตามมาถึงธานี
หน่อนรินทร์สินสมุทรเห็นพูดช้า	จึงวันทาทูลพระมเหสี
พระน้องรักศักดาวิชาดี	จะไล่ผีมิให้อยู่ที่ภูวไนย
นางพระยาว่ากระนั้นขยันนัก	เชิญลูกรักของแม่ช่วยแก้ไข
เครื่องหยูกยาหาบ้างหรืออย่างไร	พระหน่อไททูลว่าของไม่ต้องการ
จะขอตีที่กระดาษปีศาจอยู่	ด้วยความรู้ราวกับไฟประลัยผลาญ
ถึงยักษีผีสางปะรางควาน	ขอประทานแต่กระดาษรูปวาดมา
นางดีใจใช้สินสมุทรน้อย	ให้ไปคอยลักกระดาษดังปรารถนา
หน่อนรินทร์ยินดีชลีลา	แล้วแฝงมาเมียงมองที่ห้องใน
เห็นหลับลอบหมอบเมียงเข้าเคียงอาสน์	ลักกระดาษเลขาเอามาได้
แล้วคลี่กลางปรางค์ปราสาทประหลาดใจ	พระหน่อไทภาวนามหามนต์
เสกไม้เท้าดาบสจดกระดาษ	เสียงรูปวาดหวีดร้องสยองขน
แล้วซ้ำตีผีร้ายก็วายชนม์	กระดาษป่นเป็นประกายวุบหายไป
สองกษัตริย์ทัศนาเห็นปรากฏ	คงจะปลดเปลื้องวิบัติปัถไหม
นางพระยาพาพระน้องกับหน่อไท	เข้าห้องในนั่งดูพระภูธร ฯ
๏ ฝ่ายองค์พระอภัยมณีนาถ	เมื่อปีศาจสร่างจิตอดิศร
เคลิ้มพระทัยไหวหวิวหิวหาวนอน	สะท้อนถอนฤทัยทั้งไสยา
จนยามค่ำฉ่ำชื่นระรื่นรส	มะลิสดแทรกกุหลาบอาบนาสา
เสียงทหารขานโห่เป็นโกลา	ก็ผวาหวาดฟื้นตื่นบรรทม
รู้สึกองค์ทรงนั่งกำลังน้อย	เนตรชม้อยไม่เห็นเหล่าสาวสนม
เห็นลูกรักอัคเรศร่วมอารมณ์	มาบังคมพร้อมพรั่งทั้งอนุชา
เขม้นดูกุมารโอรสราช	เห็นผุดผาดผิวอย่างนางมัจฉา
หวนรำลึกนึกสะอื้นกลืนน้ำตา	จึงบัญชาถามองค์นางนงลักษณ์
สามกุมารหลานลูกผู้ใดมั่ง	มาน้อมนั่งน่าเอ็นดูไม่รู้จัก
นางทูลความตามเรื่องพระลูกรัก	ให้ทรงศักดิ์ทราบสิ้นด้วยยินดี
พระเรียกบุตรสุดสวาทขึ้นอาสน์รัตน์	หน่อกษัตริย์นอบนบซบเกศี
พระโลมลูบจูบเกล้าพระเมาลี	พลางพาทีไต่ถามตามอาลัย
นางสุวรรณมัจฉามารดาเจ้า	กำสรดเศร้าเคืองเข็ญเป็นไฉน
หรืออยู่ดีศรีสวัสดิ์กำจัดภัย	พ่อเล่าให้บิตุเรศแจ้งเหตุการณ์ ฯ
๏ สุดสาครร้อนจิตคิดถึงแม่	มาเห็นแต่บิตุรงค์น่าสงสาร
ทรงกันแสงแจ้งเรื่องเคืองรำคาญ	อันพระมารดาจนพ้นปัญญา
ครั้นรุ่งเช้าเล่าก็ไปกินไคลน้ำ	ต่อเย็นค่ำจึงมาอยู่ในคูหา
ให้กินนมชมลูกทุกเวลา	ตามประสายากจนของชนนี
แต่ส้มสูกลูกน้อยที่สอยได้	ก็แบ่งให้แม่มัจฉาตาฤๅษี
จนลูกยาอายุได้สามปี	พระชนนีแนะความให้ตามมา
แล้วเล่าเรื่องเมืองน้องสองกษัตริย์	พูนสวัสดิ์หวังพระองค์เหมือนวงศา
ช่วยชุบเลี้ยงเที่ยงธรรม์กรุณา	จึงได้มาอภิวาทบาทยุคล
สงสารแต่แม่มัจฉานิจจาเอ๋ย	ลูกอยู่เคยหักหาผลาผล
ไปให้ทานมารดาประสาจน	เป็นสองคนค่ำเช้าได้เคล้าคลึง
ลูกจากมาน่าที่จะวิตก	ด้วยเปลี่ยวอกเปล่าใจอาลัยถึง
จะง่วงเหงาเศร้าจิตคิดคะนึง	แสนรำพึงถึงลูกผูกอาลัย
แล้วสั่งมาว่าแม้นพบพระภูวนาถ	ให้กราบบาททูลแจ้งแถลงไข
ว่าชาตินี้มิได้มาเป็นข้าไท	แต่มีใจคิดถึงองค์พระทรงธรรม์
อันปิ่นทองของประทานของผ่านเกล้า	พระแม่เจ้ามอบไว้ให้หม่อมฉัน
โอ้สงสารนานแล้วแต่แคล้วกัน	จะนับวันเวลาตั้งตาคอย ฯ
๏ พระฟังคำร่ำว่าน่าสังเวช	ชลเนตรหยดเหยาะเผาะเผาะผอย
เหลืออาลัยในคำเงือกน้ำน้อย	ให้เศร้าสร้อยสวมสอดกอดกุมาร
ประโลมลูกผูกจิตคิดถึงแม่	มาห่างแหเห็นแต่บุตรสุดสงสาร
สะอื้นอ้อนถอนฤทัยอาลัยลาน	พระวงศ์วานใหญ่น้อยพลอยโศกี
ครั้นโศกสร่างทางดำรัสตรัสประภาษ	เรียกหน่อนาถพี่น้องทั้งสองศรี
มานั่งตักซักถามถึงเดือนปี	กุมารีพลอดรับอภิวันท์
ฉันกับพี่ปีเดียวกันเจียวจ๊ะ	แต่องค์พระอนุชาอ่อนกว่าฉัน
พระเชษฐานั้นเป็นลูกได้ผูกพัน	กระหม่อมฉันจะเป็นด้วยช่วยเมตตา
พระจูบกอดพลอดเพลินเจริญจิต	แสนสนิทนึกรักนั้นหนักหนา
พระลูกน้อยสร้อยสุวรรณจันทร์สุดา	พี่เลี้ยงพามาประณตบทมาลย์
พระสอนให้ไหว้พี่สี่กษัตริย์	ต่างกอดรัดพูดจาน่าสงสาร
นางเสาวคนธ์บ่นว่าน่ารำคาญ	เช่นนี้ฉานดูเฟือนช่างเหมือนกัน
พระน้องนางต่างว่าฉันฝาแฝด	กษัตริย์แปดองค์ชวนกันสรวลสันต์
เสียงจ๋าจ๊ะคะขาจนสายัณห์	ส่วนทรงธรรม์ตรัสถามความแผ่นดิน
นางทูลว่าฝรั่งยังตั้งค่าย	อยู่เรียงรายตามมหาชลาสินธุ์
ทั้งยกเพิ่มเติมมาในวาริน	ไม่รู้สิ้นศึกเสือเหลือระอา
แต่ละทัพนับแสนมาแน่นเนื่อง	ล้วนเจ้าเมืองใหญ่น้อยร้อยภาษา
แม้ครั้งนี้มิได้สุดสาครมา	จะเป็นข้าแขกฝรั่งเสียทั้งเมือง ฯ
๏ พระฟังคำร่ำเล่าเศร้าสลด	ยามระทดทุกข์ตรอมยังผอมเหลือง
สู้ฝืนแรงแข็งพระทัยให้ประเทือง	ตรัสเรียกเครื่องพระกระยามาเหมือนเคย
ชวนน้องรักอัคเรศโอรสราช	ร่วมพระภาชนะทองของเสวย
รสระรื่นชื่นอารมณ์ด้วยนมเนย	เหมือนอย่างเคยคาวหวานสำราญใจ
ครั้นอิ่มหนำสำเร็จเสด็จออก	พระโรงนอกนพรัตน์จำรัสไข
สถิตแท่นแว่นฟ้าเสนาใน	ต่างดีใจกราบก้มบังคมคัล
พระปรึกษาข้าเฝ้าเหล่าทหาร	ศึกมาต้านต่อแย้งด้วยแข็งขัน
จงเร่งรัดจัดทัพสลับกัน	ให้เป็นปัญจเสนาสง่างาม
พรุ่งนี้เช้าเราจะยกออกยงยุทธ์	ให้สิ้นสุดศึกเตียนที่เสี้ยนหนาม
สั่งกำชับสรรพเสร็จสำเร็จความ	พอย่ำยามเยื้องย่างขึ้นปรางค์ทอง ฯ
๏ ฝ่ายเสนาข้าเฝ้าเหล่าทหาร	มาเกณฑ์การกันแต่ดึกเสียงกึกก้อง
บ้างตรวจตราหน้าที่บ้างตีฆ้อง	เสียงจองหง่องจองหง่องป่องป่องดัง
ศรีสุวรรณนั้นเกณฑ์เป็นกองหน้า	ล้วนโยธารมจักรคึกคักคั่ง
พลทมิฬสินสมุทรมาหยุดยั้ง	อยู่พร้อมพรั่งปีกขวาสง่างาม
พวกโยธาการะเวกเป็นปีกซ้าย	ทั้งไพร่นายล้วนชำนาญชาญสนาม
เจ้าวิเชียรโมราสานนพราหมณ์	เป็นกองหลังตั้งตามพยุหทัพ
พวกพหลพลผลึกเป็นกองหลวง	เวลาล่วงตีสิบเอ็ดพอเสร็จสรรพ
บ้างแกว่งกลอกหอกดาบดูวาบวับ	มาเตรียมรับเรียงหลามอยู่ตามทาง ฯ
๏ ฝ่ายองค์พระอภัยตื่นไสยาสน์	ชวนหน่อนาถนุชน้องมาห้องขวาง
ต่างจัดแจงแต่งองค์ทรงสำอาง	ครั้นเสร็จย่างเยื้องมาหน้าพระลาน
รถม้าเทียบเรียบรับอยู่คับคั่ง	ทั้งหน้าหลังแลล้วนทวนธงฉาน
พอฤกษ์ดีตีฆ้องก้องกังวาน	ทหารขานโห่ฮึกเสียงครึกโครม
ศรีสุวรรณนั้นขึ้นทรงรถที่นั่ง	ทั้งแตรสังข์เซ็งแซ่เสียงแห่โหม
เดินธงทิวปลิวสล้างกลางโพยม	กลองประโคมเคียงรถบทจร
สินสมุทรหยุดยั้งให้ตั้งโห่	ขี่สิงโตตัวร้ายสะพายศร
ข้างปีกซ้ายฝ่ายนุชาสุดสาคร	ทรงมังกรกุมไม้เท้าของเจ้าตา
พระพี่น้องสองทัพขับทหาร	อลหม่านมากมายทั้งซ้ายขวา
เสียงฆ้องกลองก้องสะท้านสะเทื้อนสุธา	ต่างเฮฮาโห่ร้องซ้องสำเนียง
ครั้นเสร็จสรรพทัพหลวงล่วงลีลาศ	พระทรงราชรถทองกึกก้องเสียง
แล้วกองหลังทั้งสามพราหมณ์พี่เลี้ยง	ขี่ม้าเคียงขับพลสกลไกร
ออกจากกรุงทุ่งกว้างเป็นทางทัพ	แลสลับธงทิวปลิวไสว
บ้างลากปืนครื้นครั่นสนั่นไป	จนมาใกล้ค่ายฝรั่งให้ตั้งทัพ
ทั้งซ้ายขวาหน้าหลังยับยั้งหยุด	ตั้งเป็นครุฑกระบวนนามตามตำรับ
เห็นโยธาพวกฝรั่งออกคั่งคับ	เป็นแปดทัพทั้งเดิมและเติมมา
ล้วนมีธงลงหนังสือชื่อประเทศ	เมืองละเมดมลิกันสำปันหนา
กรุงกวินจีนตั๋งอังคุลา	ที่ยกมาทางบกอีกหกทัพ
ที่อยู่เก่าเจ้าลยาชวาฉวี	แต่ล้วนตีเมืองไม่ได้ก็ไม่กลับ
ต่างขี่ม้าพาทหารออกต้านรับ	ปะทะทัพดูทีกิริยา ฯ
๏ ฝ่ายองค์พระอภัยวิไลลักษณ์	เห็นศึกหนักนับแสนดูแน่นหนา
จะเป่าปี่ให้สู้ดูศักดา	ก็เห็นว่าจะไม่ลือระบือยศ
หนึ่งพวกเราเล่าก็รวมอยู่พร้อมพรั่ง	แต่ล้วนรังเรียนวิชาได้ปรากฏ
จะดูดีพี่น้องสองโอรส	ให้มียศเกียรติไว้ในไตรภพ
จึงตรัสใช้ให้ทูตไปพูดนัด	อย่างกษัตริย์สงครามตามขนบ
ครั้นจะให้ไพร่พลเข้ารณรบ	จะตายทบทับยับเสียนับพัน
ซึ่งจะชนะจะแพ้เพราะแม่ทัพ	ออกต่อรับรบสู้เป็นคู่ขัน
ใครผลาญเราเจ้าบูรินทร์สิ้นชีวัน	คือคนนั้นได้ลูกสาวเจ้าลังกา ฯ
๏ ทั้งเก้าทัพรับกันเป็นธรรมยุทธ์	รำอาวุธเรียงรายทั้งซ้ายขวา
แต่ม้าทรงองค์ท้าวเจ้าคุลา	ออกยืนหน้านายทหารถือขวานคลี
บั้นเอวผูกลูกขลุบแล้วคลุมเสื้อ	ดูดังเสือโคร่งคร่ำดำหมิดหมี
ทางร้องท้าว่าใครผู้ใดดี	มาต่อตีตามพนันเหมือนสัญญา
สินสมุทรบุตรยักษ์มักโมโห	ขับสิงโตรำทวนสวนถลา
เข้ารบรับทัพท้าวเจ้าคุลา	ปะทะท่าแทงฟันประจัญบาน
หลายกระบวนทวนทบตลบเลี่ยง	พอแทงเพลี่ยงพลิ้วหันฟันด้วยขวาน
ถูกหน่อนาถฉาดฉับกลับทะยาน	เข้าชิงขวานไขว่คว้ารบราวี
เจ้าคุลากล้าหาญวางขวานให้	เห็นโถมไล่เลี้ยวมาทำล่าหนี
ชำเลืองเหลือบเกือบใกล้เห็นได้ที	ทิ้งลูกคลีถูอุระพระกุมาร
พลัดตกสิงห์กลิ้งซบสลบหลับ	มันจะสับซ้ำเอาเลือดดังเชือดฝาน
สุดสาครควบม้าถาทะยาน	เข้าต่อต้านตอบตีช่วยพี่ชาย
ลืมระวังพลั้งเพลี่ยงมันเหวี่ยงขลุบ	ถูกอกอุบจุกอัดขัดไม่หาย
พอพระอามาทันเข้ากันกาย	ช่วยหลานชายชิงชัยไวกระบอง
มันรบพลางขว้างขลุบดูวุบวับ	พระควงรับรอนรันผันผยอง
ทิ้งไม่ถูกลูกกระเด็นอยู่เป็นกอง	พระตีต้องเจ้าคุลาชีวาวาย ฯ
๏ พอพี่น้องสองฟื้นตื่นทะลึ่ง	เปรียบเหมือนหนึ่งนอนหลับแล้วกลับหาย
เจ้ากวินถิ่นเถื่อนเห็นเพื่อนตาย	กระหวัดสายกวินทรงเข้ายงยุทธ์
ศรีสุวรรณหันหวดเร็วรวดรับ	มันขว้างขวับไขว่คล้องกระบองหลุด
