๏ ฝ่ายพระจอมจักรพงษ์ดำรงราชย์	ตรัสประภาษไปพลันด้วยหรรษา
พระตรัสเสร็จแล้วเสด็จเข้าสู่ที่	แท่นมณีรจนามุกดาหาร
พวกเสนาสารวัตรเร่งจัดการ	พร้อมทหารพลรบสมทบกัน
มาลอยลำกำกับรับเสด็จ	ตระเตรียมเสร็จตามหมายพอไก่ขัน
ทหารปืนยืนสะพรั่งทั้งดั้งกัน	คอยทรงธรรม์กรุงกษัตริย์ขัตติยา ฯ
๏ ฝ่ายพระจอมธิบดินทร์สินสมุทร	พระทรงภุชพลิกฟื้นตื่นผวา
เข้าที่สรงทรงสหัสธารา	ผลัดภูษาแย่งยกกระหนกใน
ฉลององค์ตาดแดงแสงระยับ	ปั้นเหน่งทับมรกตดูสดใส
เหน็บพระแสงอาญาสิทธิ์ฤทธิไกร	แล้วสวมใส่มาลาสง่างาม
เสด็จออกข้างหน้าเสนาพร้อม	ประณตน้อมกรุงกษัตริย์ดำรัสถาม
พระโหราธิบดีทั้งชีพราหมณ์	ได้ฤกษ์ยามสักกี่บาทจะยาตรา
โหรคำนับจับยามตามสังเกต	ว่าโมงเศษฤกษ์นี้ดีหนักหนา
ควรจะยกพยุหบาตรเสร็จยาตรา	เสด็จมาหยุดยั้งฟังสำเนียง
พอได้ฤกษ์ตีฆ้องก้องสนั่น	บันลือลั่นสังข์แตรเซ็งแซ่เสียง
เสด็จลงทรงรถพระกลดเคียง	ตำรวจเรียงตาริ้วเป็นทิวไป
ออกจากวังลงยังฉนวนน้ำ	ก็พร้อมลำกำปั่นเรียงเคียงไสว
เสด็จลงเรือเหราให้คลาไคล	ล่องน้ำไปออกอ่าวเจ้าพระยา
ถึงน้ำเชียวชักใบขึ้นใส่รอก	ทหารออกมายืนยิงปืนผา
ถ้วนยี่สิบสองนัดให้ยาตรา	ข้ามมหาสาคโรชโลธร
เอาเข็มตั้งลังกาสุธาทวีป	ให้เร่งรีบตัดละเมาะเกาะสิงขร
ได้ลมคล่องล่องมาในสาคร	ไม่หยุดหย่อนตั้งแต่มาสิบห้าวัน
บรรลุถึงปากอ่าวพอเช้าตรู่	ให้ทอดอยู่ลดใบพอไก่ขัน
จึงหยุดรอแต่พอแจ้งแสงตะวัน	แล้วพากันรีบไปในนคร
ทูลพระปิ่นรมจักรนัคเรศ	ให้ทรงเดชทราบความตามอักษร
กับพระศรีอนุชาสุดสาคร	ว่าเราจรมาอยู่ด่านชานบุรินทร์
ขุนเสนีประนมบังคมบาท	ภูวนาถรับสั่งดั่งถวิล
เอาเรือบดรีบเข้าไปในบุรินทร์	จนถึงถิ่นเมืองด่านชานชลา
ขึ้นไปแจ้งราชการด่านปากน้ำ	ท่านช่วยนำข่าวศึกไปปรึกษา
องค์พระจอมนครินทร์ปิ่นลังกา	ให้ทราบฝ่าบาทบงสุ์พระทรงธรรม์
ว่าพระจอมธิบดินทร์สินสมุทร	เสด็จหยุดอยู่ดอนรีบผ่อนผัน
เป็นการด่วนจวนนักหนาจะช้าวัน	ไปให้ทันเวลาอย่าช้าที ฯ
๏ ฝ่ายขุนด่านเรียกหาพวกม้าใช้	พาท่านไปทูลประณตบทศรี
รีบเข้าไปในจังหวัดปัถพี	ให้เสนีขึ้นม้าพากันไป ฯ
๏ จะกล่าวฝ่ายในลังกาอาณาจักร	ให้ซ้อมซักทหารปืนยืนไสว
คอยพระจอมสินสมุทรวุฒิไกร	มาเมื่อไรจะไปเปลื้องเมืองกำพล
พอตรัสเสร็จทูตาก็มาเฝ้า	ทูลพระเจ้านครินทร์ปิ่นสิงหล
ว่าพระจอมนครินทร์ปิ่นสากล	เธอยกพลมายังฝั่งชลา
ใช้ให้ข้ามาทูลมูลเหตุ	จะโปรดเกศอย่างไรไฉนหนา
จะให้ขึ้นยับยั้งยังลังกา	หรือจะช้าทีไปจะได้จร ฯ
๏ ฝ่ายพระศรีสุวรรณวงศ์ดำรงราชย์	ตรัสประภาษกับพระหลานชาญสมร
เราควรยกโยธาพลากร	เป็นการร้อนช้าไปก็ไม่ดี
จึ่งตรัสกับเสนาที่มาเฝ้า	ว่าออเจ้าไปประณตบทศรี
กลับไปทูลหลานเราเล่าคดี	ว่าพรุ่งนี้เราจะไปในเภตรา
ขุนเสนีกราบก้มบังคมบาท	รับพระราชโองการใส่เกศา
ประนมนอบหมอบกรานคลานออกมา	ไปนาวากราบทูลมูลคดี
ฝ่ายพระจอมนครินทร์ปิ่นผลึก	เธอตรองตรึกเรือใบทั้งไล่หนี
ทหารรบครบประจำทุกลำมี	ทั้งหอกตรีแหลนหลาวและเกาทัณฑ์ ฯ
๏ จะกล่าวฝ่ายในพาราลังกาทวีป	ต่างเร่งรีบเรียกพหลพลขันธ์
ทั้งต้นหนคนการชำนาญครัน	ประจำมั่นมิให้ขาดราชการ
ปางพระจอมรมจักรนัคเรศ	เฉลิมเกศกษัตรามหาศาล
ครั้นรุ่งสางรังสีรวีวาร	ชวนพระหลานสรงชลสุคนธา
น้ำกุหลาบอาบองค์สรงกระสินธุ์	สุคนธ์กลิ่นหอมฟุ้งปรุงบุหงา
ทรงเครื่องต้นอย่างกษัตริย์ขัตติยา	เสร็จออกมาพระโรงรัตน์ชัชวาล
ตำรวจแห่แตรสังข์สะพรั่งพร้อม	พอพระจอมขัตติยามหาศาล
สองพระองค์ขึ้นทรงราชยาน	จากสถานลงไปพักตำหนักแพ
พอฤกษ์ดีตีฆ้องก้องสนั่น	เรือดั้งกันลอยรายชายกระแส
เสด็จจากชานพักตำหนักแพ	กระทั่งแตรเป่าสังข์กังสดาล
เสด็จลงกำปั่นสุวรรณหงส์	ให้ชักธงแล่นเรียงเคียงขนาน
ล่องลงไปในวิถีทีธาร	พอถึงด่านเมืองสมุทหยุดเภตรา
ประทับลำหน่อนรินทร์สินสมุทร	พระทรงภุชเกษมสันต์ด้วยหรรษา
ต่างถวายอัญชลีด้วยปรีดา	ทรงปรึกษาการณรงค์จะสงคราม
พอเสร็จเรื่องสั่งให้ชักใบแล่น	ไปตามแผนที่เสร็จไม่เข็ดขาม
กำปั่นรบหมื่นเศษสังเกตตาม	แล่นออกหลามในมหาสาคโร ฯ
๏ สามกษัตริย์ทัศนามัจฉาชาติ	ขึ้นว่ายกลาดในสมุทรบ้างผุดโผ
ตัวเป็นปลาหน้าเป็นลิงเป็นสิงโต	หน้าเป็นโคตัวเป็นปลาเท้าหน้ามี
ตัวเป็นช้างทางเป็นหอยลอยระกะ	ตัวเป็นกระหน้าเป็นเนื้อเป็นเสือหมี
ตัวเป็นแพะเบื้องหางอย่างกุมภีล์	สัตว์ที่มีในสมุทรสุดรำพัน
เรือก็แล่นเลยมาในสาคเรศ	ชมประเทศเกาะเกียนดูเหียนหัน
ราวกับเขียนช่างระบายลายพู่กัน	เป็นเชิงชั้นช่องผาศิลาลาย
ทั้งปูหอยลอยเลื่อนอยู่เกลื่อนกลาด	ระดาดาษในวารินกระสินธุ์สาย
ฝูงนกหกผกผาดชายหาดทราย	ตะกุยตะกายถาบถาพาไปกิน
สามกษัตริย์ทัศนาปลาแลนก	บ้างโผผกผุดว่ายสายกระสินธุ์
สุดจะร่ำพรรณนาในวาริน	ไม่รู้สิ้นหลายอย่างต่างต่างพรรณ
พระสุริยงลงลับพยับฟ้า	พระจันทราแจ่มกระจ่างทางสวรรค์
ตั้งแต่ใช้ใบมาสิบห้าวัน	จากขอบคันนคเรศเขตลังกา ฯ
