๏ ฝ่ายกษัตริย์รายาชวาฉวี	ครั้นฤกษ์ดีเสด็จท่าชลาสินธุ์
โดยประสงค์จงใจเป็นไมตรี	ได้เป็นที่คำนับรับประทาน ฯ
๏ ฝ่ายท้าวผีปีศาจเป็นชาติยักษ์	หัวร่อคักปรีดิ์เปรมเกษมศานต์
จึงเรียกพวกบ่าวไพร่มิได้นาน	มาล้อมศาลกินเล่นไม่เห็นตัว
ได้ยินแต่เสียงพูดกับดูดปาก	กำลังอยากเคี้ยวขยอกนั่งกลอกหัว
กินแกะไก่ไม่เหลือทั้งเนื้อวัว	พลางยิ้มหัวอิ่มเอมเกษมใจ
แล้วลุกขึ้นยืนหยัดดัดต้นขา	กูจะพาไปแจ้งแถลงไข
ดูของดีชี้แจงให้แจ้งใจ	เองมาไวเร็วหวาอย่าช้าที
แม้นแดดกล้าเอาไม่ได้เป็นไฟร้อน	ที่สิงขรกายสิทธิ์ล้วนฤทธิ์ผี
เป็นสีแสงแดงรอบขอบคีรี	ไม่เห็นที่มันอยู่เคืองหูตา
แล้วลุกเดินนำไปข้างท้ายเขา	พลางบอกเล่าเวทมนตร์ดลคาถา
แล้วไปชี้ที่เพชรเม็ดจินดา	ท้าวรายาให้เจาะจำเพาะรอย
ด้วยว่าแขกนั้นชำนาญในการเพชร	แต่ละเม็ดชั่วดีเพราะมีฝอย
รู้ตำรามากมายเคยขายพลอย	ถึงเล็กน้อยรู้แท้ไม่แชเชือน
แต่แก้วเก็จเพชรนี้เป็นที่ยิ่ง	จะหาสิ่งใดเทียบเปรียบไม่เหมือน
พอเจาะเข้าเขาใหญ่ไหวสะเทือน	แผ่นดินเลื่อนลั่นโห่เป็นโกลา
พยุพยับอับฟ้าโกลาหล	เป็นหมอกมนมืดมิดทุกทิศา
ด้วยอำนาจของดีมีราคา	ดวงจินดาของคู่ผู้มีบุญ
พอลุกจากเพิงผาหน้าบรรพต	ก็ปรากฏแสงสลับดั่งทรัพย์หนุน
สว่างช่วงดวงมณีเพชรมีคุณ	สำหรับบุญเทวสินธุ์นรินทร
โตเท่าผลมะปรางทองละอองศรี	น้ำมณีเรืองจำรัสประภัสสร
สามกษัตริย์ยินดีชุลีกร	จึงวิงวอนผีท้าวเจ้าละมาน
ว่าข้าแต่ท่านท้าวผู้เจ้าเกาะ	ท่านสงเคราะห์พันผูกดั่งลูกหลาน
พระคุณล้ำดินฟ้าสุธาธาร	ข้อรำคาญท่านมีจงชี้แจง
ข้าพเจ้าขอสนองที่ข้องขัด	จะปรนนิบัติตามประสงค์จงแถลง
ขอเชิญท่านบอกกล่าวเล่าแสดง	จะชี้แจงรับรองสนองคุณ ฯ
๏ อ้ายคนทรงจึ่งว่าถ้าเช่นนั้น	จงช่วยกันทำกุฏิ์พออุดหนุน
เอาศพฝังครั้งนี้จะมีคุณ	แล้วทำบุญส่งไปให้แก่เรา
จึงจะได้ไปเกิดเป็นมนุษย์	ประเสริฐสุดไปให้สิ้นจากถิ่นเขา
อันซากศพพวกพ้องพี่น้องเรา	อยู่หลังเขามันเอาใส่ไว้ในกรง
เพราะมันขังทั้งหลายตายด้วยอด	แม้นปล่อยปลดเปลื้องธุระอย่างประสงค์
เอากระดูกขุดออกเสียนอกกรง	นั้นแหละคงพ้นทุกข์เป็นสุขใจ
อ้ายคนทรงพาตรงไปหลังเขา	แล้วว่าเจ้าดูแลช่วยแก้ไข
สามกษัตริย์ท้าวชวาพากันไป	ทั้งพลไพร่เสนาประชาชน
เห็นกรงเหล็กเรียงรายอยู่ท้ายเกาะ	บังหักเดาะช่วยกันแย่งทุกแห่งหน
เอาขวานฟันกรงประลัยทั้งไพร่พล	ช่วยกันขนซากศพบ้างกลบดิน
แล้วปักไม้เป็นหลังคาเอาผ้าคาด	พวกปีศาจชื่นชมสมถวิล
บ้างพ้นทุกข์สุขาไปหากิน	บ้างก็สิ้นกรรมตนทนทรมาน ฯ
๏ ฝ่ายท้าวผีที่เข้าคนทรงนั้น	เดินเหียนหันอิ่มเอมเกษมสานต์
แล้วว่าท่านเหล่านี้ปรีชาชาญ	ช่วยรำคาญเราได้ดังใจปอง
จงกลับไปเภตราทั้งข้าเจ้า	อยู่จะหนาวมัวมนรีบขนของ
รีบใช้ใบไปเหมือนนึกที่ตรึกตรอง	อยู่จะต้องติดชลในวนวัง
อันตัวเรานี้หนาจะลาแล้ว	ไปจากแถวถิ่นนี้พ้นที่ขัง
เป็นสิ้นกรรมพัวพ้นอนันตัง	คนทรงนั่งผีออกไปนอกกาย ฯ
๏ สามกษัตริย์ท้าวชวาพาพหล	จรดลรีบไปดั่งใจหมาย
ลงกำปั่นพร้อมข้าเสนานาย	ให้ผันผายจากที่ด้วยปรีดิ์เปรม
เรือที่นั่งดั้งกันเป็นหลั่นลด	แล่นไปหมดสิ้นทุกข์สุขเกษม
ไม่ขัดขวางนทียิ่งปรีดิ์เปรม	พระอิ่มเอมด้วยจินดาค่าบุรินทร์
แล่นกำปั่นบรรดาโยธาหาญ	แสนสำราญใช้ใบในกระสินธุ์
ชมหมู่สัตว์มัจฉาฝูงนาคินทร์	บ้างโดดดิ้นในมหาสาคโร
ฝูงมังกรคาบแก้วแววสว่าง	บ้างฟาดหางเรียงรายบ้างว่ายโผ
ที่เลื้อยไล่ในมหาสาคโร	ตัวโตโตมิใช่น้อยนับร้อยพัน
ฝูงเหราน่ากลัวหัวเป็นเขา	บ้างว่ายเคล้าแว้งวัดสะพัดผัน
ฝูงเงือกงูดูงามเลื้อยตามกัน	บ้างดำดั้นผุดพ่นชลธี
พวกม้าน้ำทำท่าเหมือนม้าเผ่น	ขึ้นโดดเต้นในกระสินธุ์ถิ่นวิถี
ฝูงช้างน้ำดำด้นชลธี	พระภูมีสามกษัตริย์ทัศนา
เรือก็แล่นใบสล้างมากลางหน	พอสุริยนลับไปในเวหา
ศศิธรจรกระจ่างกลางนภา	ดวงดาราพรอยพร่างน้ำค้างพรม
พวกพหลพลไพร่ในกำปั่น	เกษมสันต์พร้อมกันสิ้นกินขนม
เจ้าพวกคิดถึงเมียเสียอารมณ์	ลงนั่งตรมตรอมอุรานัยน์ตาปรอย
เพื่อนเขากินข้าวปลาค่อยผาสุก	ตัวเป็นทุกข์เต็มประดานั่งหน้าจ๋อย
โอ้ป่านนี้เมียเราเขาจะคอย	คิดก็น้อยใจนายหลายประการ
ไม่พอที่จะลำบากต้องจากถิ่น	ให้เมียดิ้นวุ่นวายหลายสถาน
นึกละห้อยน้อยจิตคิดรำคาญ	แม้นจ้างวานใครเสียได้กูไม่มา
เมื่อไรเลยจะได้กลับไปดับร้อน	เมียจะนอนโดยดิ้นถวิลหา
เป็นจำใจจำจนพ้นปัญญา	เวทนามาในเรือเห็นเหลือจน
แม้นทางป่ากูจะหนีไปลี้ลับ	แล้วจะกลับเดินไปในไพรสณฑ์
ถึงมุลนายเขาจะรู้ก็สู้ทน	ผิดก็ขวนขวายทรัพย์ไว้รับรอง
แต่บรรดาเมียมีคิดหนีหมด	แสนรันทดไม่บรรเทาที่เศร้าหมอง
นั่งกอดเข่าเร่าร้อนบ้างนอนตรอง	บ้างเข้าห้องโงกหงับลงสับเงา
เรือก็แล่นลมพัดปัดตะโพก	ขย่อนโขยกเต็มใบลมชายเขา
ไม่ขัดขวางทางไปในสำเภา	ทั้งน้ำข้าวเครื่องเสบียงพอเลี้ยงพล
ก็เกือบถึงมรรคาลังกาทวีป	พลางแล่นรีบเร็วรัดไม่ขัดสน
พวกเรือไฟไขสลักใช้จักรกล	ให้รีบร้นข้ามฝั่งไปลังกา
ด้วยอำนาจแก้วเก็จเพชรรัตน์	สว่างชัดรุ้งร่วงช่วงเวหา
ถึงพลบค่ำย่ำแสงพระสุริยา	เรือที่มาเห็นสว่างดั่งกลางวัน
ด้วยอำนาจจินดามหาวิเศษ	สำแดงเดชฤทธีดีขยัน
บรรดาเรือมาประชุมทั้งคุ้มกัน	สารพันโรคาไม่ยายี ฯ
