๏ ฝ่ายสุวรรณมาลีศรีสุวรรณ	อยู่พร้อมกันที่ลำกำปั่นใหญ่
ทั้งดุร้ายใจเหมือนเสือเหลือกำลัง	ห้ามไม่ฟังเหมือนทุกคนเป็นจนใจ ฯ
๏ อุศเรนเจนศึกไม่นึกพรั่น	แกล้งสรวลสันต์เสียดแทงแถลงไข
พระเชษฐาว่าจริงทุกสิ่งไป	คงจะได้เชยชมสมคะเน
ฉวยรบพุ่งยุ่งยิ่งชิงไปได้	ก็อาลัยอยู่ด้วยนางจะห่างเห
สนิทแนบแยบคายช่างถ่ายเท	เขียนจระเข้ขึ้นไว้หลอกตะคอกคน
เราก็ชายหมายมาดว่าชาติเชื้อ	ถึงปะเสือก็จะสู้ดูสักหน
ไม่รักวอนงอนง้อทรชน	แล้วพาพลกลับมาเภตราพลัน
ถึงกองทัพยับยั้งนั่งเก้าอี้	สั่งให้ตีกลองสัญญาโกลาลั่น
ร้องเรียกเรือรบฝรั่งมาทั้งนั้น	แล้วแบ่งปันเป็นแผนกแยกนาวา
กองละร้อยคอยรบสมทบทัพ	เกณฑ์กำกับเกียกกายทั้งซ้ายขวา
ให้คอยล้อมพร้อมพรั่งดังสัญญา	เห็นลมกล้าได้ทีตีประดัง
ให้พวกเรือเหนือลมนั้นสมทบ	เข้ารุมรบลำใหญ่เหมือนใจหวัง
แม้นขึ้นได้ไฟจุดอย่าหยุดยั้ง	แล้วกองหลังหนุนด้วยช่วยให้ทัน
แม้นพบชายนายทัพจงจับมัด	มันขืนขัดจึงค่อยฆ่าให้อาสัญ
ถ้าลำไหนได้นางจะรางวัล	ครองประจันตประเทศเขตนคร ฯ
๏ ฝ่ายฝรั่งพรั่งพร้อมต่างน้อมนบ	ลงเรือรบเรียบร้อยลอยสลอน
ทั้งโยธากล้าหาญคอยราญรอน	ใส่เสื้อซ้อนเกราะกระสันกันศัสตรา
ทหารปืนยืนมองตามช่องกราบ	ศรกำซาบแทรกรายทั้งซ้ายขวา
พร้อมทหารขานโห่เป็นโกลา	ธงสัญญาโบกบอกให้ออกเรือ
กองละร้อยคอยรบไม่หลบหลีก	ซักเป็นปีกกาไปทั้งใต้เหนือ
บ้างถือชุดจุดไฟไว้เป็นเชื้อ	เข้าล้อมเรือลำใหญ่ระไวระวัง ฯ
