๏ จะกลับกล่าวเจ้าเมืองสำปันหนา	แขกชวาล้ำเลิศประเสริฐศรี
เราเป็นพวกคนธรรพ์เหมือนมั่นหมาย	ตามเจ้านายที่ท่านชุบอุปถัมภ์
กตัญญูรู้บ้างในทางธรรม	เราอยู่กำพลเพชรเขตนคร ฯ
๏ พวกชาวเมืองรู้แจ้งไม่แคลงจิต	นั่งพินิจรู้ตลอดแล้วทอดถอน
คะนึงพลางทางมีสุนทรวอน	ท่านอยู่ก่อนจะไปแจ้งแสดงความ
แล้วลุกลาพาเพื่อนกันกลับหลัง	เข้าในวังบอกขุนนางต่างไต่ถาม
ว่าเมืองเราเขาคิดมาติดตาม	ท่านเอาความกราบทูลมูลคดี ฯ
๏ ฝ่ายองค์พระมังคลานราราช	ออกนั่งอาสน์เนาวรัตน์จำรัสศรี
พร้อมสะพรั่งทั้งพหลแลมนตรี	นำคดีทูลองค์พระทรงธรรม์
ว่าข้าเก่าเหล่าเมืองกำพลเพชร	มาเบ็ดเสร็จเจ็ดนายรีบผายผัน
ทั้งชวามาตามด้วยครามครัน	ถึงพร้อมกันจะมาเฝ้าเจ้าแผ่นดิน ฯ
๏ พระอิ่มเอมเปรมปราในมาโนช	รับสั่งโปรดชื่นชมสมถวิล
จงเร่งรีบรับมาในธานินทร์	ชาวบุรินทร์อุตส่าห์คิดมาติดตาม
ขุนนางสั่งม้าใช้ให้ไปบอก	เขาอยู่นอกเวียงชัยเร่งไปถาม
พวกขุนนางต่างแจ้งแห่งเนื้อความ	ก็รีบตามมาเฝ้าถึงเจ้านาย
ศิโรราบกราบก้มบังคมบาท	กับปนาทนึกไปแล้วใจหาย
ไม่เห็นองค์นางพระยาเสนานาย	จึ่งภิปรายทูลถามด้วยความแคลง
อันพระยอดเยาว์วิมลไปหนไหน	จึงมิได้เสด็จมาข้ายังแหนง
หรือกริ้วโกรธโทษทัณฑ์ฉันยังแคลง	ขอพระองค์จงแจ้งแสดงความ ฯ
๏ ฝ่ายองค์พระมังคลาปัญญาฉลาด	กับสังฆราชตรึกไตรฟังไต่ถาม
จึงเอื้อนอรรถตรัสบอกออกเนื้อความ	เมื่อเราข้ามฟากฝั่งไปลังกา
ทำสงครามสามเดือนไม่เคลื่อนคลาด	กับหมู่ญาติเผ่าพงศ์พวกวงศา
เกิดวิบัติขัดขวางกลางชลา	เพราะนัดดาลักพระขรรค์จึงอันตราย
ทัพก็แตกแยกย้ายพลัดพรายหมด	นางกำสรดเศร้าใจมิใคร่หาย
เราจึ่งเข้าปรนนิบัติไม่คลาดคลาย	นางภิปรายปราศรัยเป็นไมตรี
ให้เราผู้ลูกเลี้ยงเคียงถนอม	นางยินยอมในเล่ห์มเหสี
ตามประสงค์ตรงเสน่ห์ประเวณี	จึ่งได้มีบุตรตามกันสามองค์
แล้วพระนางวางวายทิวงคต	เธอเปลื้องปลดไปสวรรค์อันประสงค์
ฝากกุมารหน่อเนื้อในเชื้อวงศ์	ให้ดำรงมนเทียรวิเชียรพราย
เทวสินธุ์ผู้พี่นี่แน่ท่าน	ถัดไปนั่นน้องกลางเหมือนอย่างหมาย
ให้ชื่อเทพจินดาดาราราย	นั่นน้องชายราเมศวิเศษครัน
เราจึ่งพามาอยู่ในเมืองนี้	เพราะบุญมีมากเหลือเชื้อสวรรค์
นางไปอยู่สถานวิมานจันทร์	ชื่อนาควันเทวบุตรเหมือนภุชงค์ ฯ
๏ พวกขุนนางต่างทราบเนื้อความสิ้น	ว่านางปิ่นอิศราพระยาหงส์
สิ้นประยูรสูญชีวิตถึงปลิดปลง	แล้วทูลองค์มังคลาเจ้าธานี
คืนประเทศเขตขอบกำพลเพชร	เชิญเสด็จไปบำรุงซึ่งกรุงศรี
ราษฎรร้อนใจเพราะไม่มี	เจ้าบุรีป้องกันสวรรยา
จะขอเชิญหน่อเนื้อเชื้อกษัตริย์	ผ่านสมบัติไอศวรรย์ให้หรรษา
ทั้งจะได้ปกเกล้าชาวประชา	พระมังคลารับคำจะทำตาม
จึ่งปรึกษาสังฆราชท่านบาทหลวง	ถูกกระทรวงหรือไม่ขอไต่ถาม
พระคุณเห็นเป็นไฉนจะได้ตาม	ด้วยเป็นความไกลตาต้องหารือ
๏ ฝ่ายบาทหลวงห่วงทรัพย์ที่เมืองนั้น	คิดผ่อนผันกันไปไม่ได้หรือ
เอาลูกชายครองเมืองให้เลื่องลือ	เจ้าที่ชื่อเทวสินธุ์อยู่กินแทน
เทพจินดาน้องที่สองนั้น	รับพระบัณฑูรเล่าได้เฝ้าแหน
เป็นฝ่ายหน้าว่าราชการแทน	อยู่เขตแดนวังหน้าริมสาคร
แต่ราเมศน้องชายเป็นฝ่ายหลัง	ให้ไปตั้งอยู่ที่ท้ายชายสิงขร
เร่งแต่งงานการภิเษกสยุมพร	ครองนครเป็นกษัตริย์สวัสดี
ภิเษกสามตามวงศ์ดำรงภพ	ขจรจบเฟื่องฟุ้งทั้งกรุงศรี
เสร็จภิเษกเอกฉัตรสวัสดี	บรรดาที่คนเก่าอย่าเอาไป
แล้วพระองค์ทรงสั่งการภิเษก	เสนาเอกรับสั่งนั่งไสว
เร่งบาดหมายทุกตำแหน่งให้แจ้งใจ	เร่งทำในเจ็ดวันเหมือนสัญญา ฯ
๏ พอสั่งเสร็จพระเสด็จยุรยาตร	ขึ้นจากอาสน์แท่นสุวรรณด้วยหรรษา
พนักงานจัดแจงแต่งพารา	สี่ปรางค์ปราจะภิเษกเป็นเอกองค์
ตั้งพิธีสี่เสาเพดานดาด	ผ้าขาวลาดสุจหนี่แต่งที่สรง
ราชวัติฉัตรสุวรรณให้กั้นองค์	พระเต้าสรงสังข์กลศรดวารี
ทิพย์ปทุมธารากระยาสนาน	ตั้งเครื่องอานอย่างเอกภิเษกศรี
แว่นสุวรรณขันถมยาราชาวดี	พานพระศรีพระแสงทรงอลงกรณ์
บายศรีแก้วแวววับประดับเพชร	มงกุฎเก็จเนาวรัตน์ประภัสสร
เศวตฉัตรพัดโบกแลจามร	พระแสงศรเสโล่โตมรา
แล้วสำเร็จเสร็จเรื่องพิธีพร้อม	ทูลพระจอมจักรพงศ์พระวงศา
วันสี่ค่ำกำหนดจะราชา	ภิเษกสามกุมาราครองธานี ฯ
๏ ป่างพระจอมนครินทร์ปิ่นพิภพ	คิดปรารภที่จะกลับซึ่งกรุงศรี
เสด็จออกพระโรงคัลอัญชลี	พร้อมทั้งสี่โหราประชากร
ให้จุดเทียนเวียนแว่นวิเชียรรัตน์	ตามกษัตริย์อิศโรสโมสร
ประโคมแซ่แตรสังข์ทั้งแตรงอน	ประสานซ้อนเสียงดังกังสดาล
มโหระทึกกึกก้องกลองวิลาศ	ทั้งพิณพาทย์จำเรียงเสียงประสาน
โปรยดอกไม้เงินทองของตระการ	พนักงานทูลถวายฝ่ายกำนัล
สรงสหัสธารามณฑาภิเษก	มอบเศวกระฉัตรชัยไอศวรรย์
แล้วอวยพรหน่อนเรศครองเขตคัน	เป็นจอมจรรโลงลบจบสกล
ให้อายุเจ้ายืนหมื่นพรรษา	จงวัฒนาในสมบัติพิพัฒน์ผล
บำรุงประชาราษฎรคิดผ่อนปรน	อย่าให้คนเดือดร้อนเหมือนก่อนมา
พระเทวสินธุ์จินดาทั้งราเมศ	ครองประเทศไอศวรรย์ให้หรรษา
พ่อกับท่านสังฆราชจะคลาดคลา	ไปพาราดับร้อนให้ผ่อนเย็น
ไม่ช้านักจักมาพาราเจ้า	แต่เมืองเก่าเกิดทุกข์ถึงยุคเข็ญ
แม้นมิไปไหนนครจะหย่อนเย็น	ก็จำเป็นไปจำไคลคลา ฯ
๏ พระเทวสินธุ์ยินคำที่ร่ำสอน	ขอรับพรวางไว้ในเกศา
ทั้งสามองค์ทรงสะอื้นกลืนน้ำตา	พระมังคลากอดบุตรสุดอาลัย
พ่อจำเป็นจำพรากไปจากเจ้า	อย่าโศกเศร้าหม่นหมองจงผ่องใส
พวกคนดีมีวิชาเสนาใน	พ่อก็ให้อยู่กับเจ้าถึงเก้าพัน
ถึงศัตรูหมู่ปัจจามาทุกทิศ	มันคุมคิดเขาคงฆ่าให้อาสัญ
อย่าทุกข์ร้อนสอนสั่งระวังกัน	ครองเขตขัณฑเสมาพาราเรา ฯ
๏ ครั้นสั่งเสร็จพระเสด็จยุรยาตร	กับสังฆราชจากสถานพิมานเฉลา
เฉลิมเลิศหลายสีมณีเพรา	กับฝูงเหล่าแขกชวาประชากร
ลงกำปั่นสุวรรณหงส์มีธงปัก	ท้ายสลักเรืองไรรูปไกรสร
ที่นั่งทองห้องท้ายลายมังกร	จอดสลอนใต้เหนือล้วนเรือไฟ
พวกเสนาข้าทูลละอองบาท	เดียรดาษพร้อมพรั่งนั่งไสว
นายกำปั่นหันระยางให้กางใบ	บ้างติดไฟไขสลักให้จักรเดิน
ได้ฤกษ์ดีตีฆ้องกลองสนั่น	ออกกำปั่นจากเกาะดั่งเหาะเทิน
ชมมัจฉาปลาใหญ่พอใจเพลิน	แล้วรีบเดินเรือมาในสาคร
กำปั่นตามข้ามมหาสาคเรศ	พ้นประเทศเหล่าละเมาะเกาะสิงขร
เย็นพยับอับแสงทินกร	พระจันทร์จรแจ่มฟ้านภาลัย
บาทหลวงเรียกมังคลามาข้างนอก	แล้วชี้บอกดวงดาวขาวไสว
โรหิณีสีแดงดั่งแสงไฟ	ดาวลูกไก่ตรงหน้าดาวพาชี
ตำราเรียกฤกษ์สามตามตำหรับ	แม้นเคียงกับจันทราร่วมราศี
พวกโจรจะกล้าแข็งแรงราวี	เจ้าบุรีราษฎรมักร้อนรน
ตรงมือชี้นี่แน่ดาวมิคเศียร	เองจงเรียนจำไว้หนาอย่าฉงน
แม้นร่วมราศีศุกร์มักทุกข์ทน	บังเกิดฝนแล้งไปลูกไม้แพง
โน่นดาวลูกไก่ใกล้กันกับดาวฆะ	ต้องชนะข้าศึกอย่านึกแหนง
พลางบอกกล่าวเล่าคดีแล้วชี้แจง	ตามตำแหน่งโหรทายร้ายแลดี
พอเดือนดับลับฟ้าเวหาหน	เป็นหมอกมนมืดมัวทั่ววิถี
จวนจะแจ้งแสงอุทัยในนที	ลมก็มีริ้วริ้วติดทิวธง
ระลอกลั่นครั่นครื้นเป็นคลื่นซัด	พลางแล่นลัดเรือบัลลังก์ที่นั่งหงส์
ทั้งเรือตามสามกระบวนปักทวนธง	พวกไต้ก๋งตั้งเข็มเต็มชำนาญ
หมายประเทศเขตแดนตามแผนที่	ออกแล่นรี่ไปตามทางหว่างอิสาน
ชมมหาสาคโรชโลธาร	ตามถิ่นฐานมีละเมาะเป็นเกาะเกียน
พวกเรือแตกแปลกภาษาขึ้นอาศัย	มีพุ่มไม้หลายหลากดั่งฉากเขียน
ทั้งกรวดทรายชายหาดดาษเดียร	ดูราบเลี่ยนพรายพร้อยมีหอยปู
ข้ามชะวากปากอ่าวกบิลพัสดุ์	แหลมสุหรัดพวกทมิฬไม่กินหมู
ใกล้ประเทศเขตชวามลายู	ต้นหนดูแผนที่ต่างดีใจ
อีกวันครึ่งก็จะถึงสำปันหนา	พวกชวาบอกกันเสียงหวั่นไหว
เกีอบจะถึงถิ่นฐานสำราญใจ	จะได้ไปหาเมียนั่งเคลียคลอ
กูจากไปสามเดือนแท้แม่อีหนู	จะเล่นชู้หรือกระไรไฉนหนอ
แม้นถึงเรือนเพื่อนกูคงรู้คอ	ถองให้พ่อตาดูกูไม่ฟัง
ที่ลางคนบ่นว่าถ้าเช่นนั้น	ชกให้ท่านตาเฒ่านั่งเกาหลัง
ถึงแม่ยายพายผู้กูไม่ฟัง	ผิดกูนั่งคัดข้อขึ้นต่อเรียน ฯ
