๏ บทนี้ข้าจะยกไว้ก่อน	จะกล่าวกลอนให้เรื่องเนื่องไปใหม่
ถ้าแม้นไม่ต้องพระประสงค์	ให้ตอบราชสารส่งไปตามที่
ขอฝากพระธิดานารี	กับตัวเราเท่านี้กว่าจะตาย
ความนี้มิใช่เป็นกลศึก	อย่าทรงนึกระแวงแหนงหน่าย
เรากษัตริย์ตรัสแล้วไม่กลับกลาย	อ่านถวายทราบสิ้นทุกประการ ฯ
๏ ครานั้นพระผู้ผ่านบุรีศรี	อยุธยาธานีราชฐาน
ได้ทรงฟังแล้วก็สั่งมิทันนาน	ให้เตรียมการที่จะรับแขกเมือง
เกณฑ์ทหารอาสาหน้าหลัง	จัดแจงแต่งวังตั้งเครื่อง
ให้ผูกช้างม้าสง่าเมือง	แล้วย่างเยื้องเสด็จขึ้นข้างในพลัน ฯ
๏ ครานั้นฝ่ายว่ากรมวัง	รับสั่งรีบมาขมีขมัน
นายเวรเขียนหมายในฉับพลัน	เกณฑ์กันตามตำแหน่งแต่ก่อนมา
เบิกธนูโล่เขนง้าวทวน	ตามกระบวนกลาบาตซ้ายขวา
พนักงานของใครให้เข้ามา	พอเพลารุ่งเช้าให้พร้อมกัน
เหล่าทหารถ้วนมือถืออาวุธ	ครบสิ่งสรรพยุทธหลายหลั่น
แน่นเนื่องเป็นขนัดถัดกัน	จัดสรรตามขนบธรรมเนียมมา
เหล่าหนึ่งถือธนูอยู่เป็นพวก	นุ่งกางเกงใส่หมวกเกี้ยวผ้า
ล้อมวังถือดั้งนั่งเนื่องมา	บ้างถือดาบพาดบ่าเกี้ยวผ้าลาย
เหล่าทวนถือทวนดูสันทัด	เกณฑ์หัดถือปืนก็มากหลาย
เสื้อแดงหมวกแดงแต่งกาย	บ้างถือเขนนั่งรายล้วนตัวดี
เกณฑ์หัดอย่างฝรั่งนั่งเป็นพวก	ใส่เสื้อใส่หมวกอยู่ตามที่
ถือปืนปลายหอกทุกบอกมี	ตัวดีแม่นยำทำท่าทาง
กลองชนะแตรสังข์ตั้งเป็นพวก	กางเกงริ้วใส่หมวกคนละอย่าง
ผู้คนสับสนตามหนทาง	ต่างต่างย้ายแยกแปลกแปลกกัน
ในห้องท้องพระโรงนั้นพรมลาด	เอี่ยมสะอาดฉากตั้งบังม่านกั้น
ตั้งเครื่องสูงมาหน้าม่านนั้น	ชุมสายรายคั่นกันต่อมา
บรรณาการของถวายหลายหลาก	ตั้งไว้หน้าฉากเป็นหนักหนา
ที่นั่งตามตำแหน่งแขกเมืองมา	ตรงหน้าพระที่นั่งพระทรงธรรม์
มหาดเล็กชาวที่มี่เข้ามา	แต่งตัวนุ่งผ้าเป็นจ้าละหวั่น
ขุนนางน้อยใหญ่เข้าไปพลัน	จัดกันตามตำแหน่งแต่ก่อนมา
นุ่งสมปักใส่เสื้อครุยกรอง	เจียดถมพานทองตั้งข้างหน้า
จัตุสดมภ์เวียงวังคลังนา	ตำรวจในซ้ายขวาก็เข้าไป
แขกฝรั่งก็ประดังกันแต่งตัว	โพกหัวเสื้อขลิบจีบเอวใส่
เจียระบาดคาดรองปั้นเหน่งใน	ต่างไปเป็นศรีพระพารา
นับหมื่นพื้นทหารชำนาญศึก	เหี้ยมฮึกเข้ากระบวนอยู่ถ้วนหน้า
ตั้งปะรำยืนช้างกลางชาลา	ทั้งม้าต้นพระที่นั่งสะพรั่งไป
จัดเป็นหน้าหลังนั่งกลาบาต	เกลื่อนกลาดตามหน้าพระลานใหญ่
แขกฝรั่งจีนจามนั่งหลามไป	เตรียมไว้ตามมีพระบัญชา ฯ
๏ ครานั้นพระองค์ทรงพิภพ	เลิศลบกว่ากษัตริย์ทุกแหล่งหล้า
เสด็จเข้าที่สรงพระคงคา	ปทุมทองธาราไหลริน
ชำระรดหมดหมองละอองผง	แล้วทรงพระสุคนธ์กลั้วกลิ่น
ทรงภูษายกกระหนกบิน	เป็นครุฑคาบนาคินทร์กระหวัดพัน
ฉลององค์ทรงครุยเครือลดา	ก้านขดรจนาฉายฉัน
ลายทองกรองรับสลับพัน	เป็นเครือวัลย์พื้นฉลุดอกลอย
ทรงพระแสงองค์ใหญ่ใจเพชร	มีสายกาละเม็ดพู่ห้อย
ด้ามประดับเพชรรัตน์จำรัสพร้อย	ระยับย้อยวับวามอร่ามพราย
เสด็จออกพระที่นั่งมุขกระสัน	ประดับแก้วแกมสุวรรณเฉิดฉาย
กลองชนะแตรสังข์ตั้งราย	จ่ากลองท้าถวายเชิญเสด็จพลัน
พนักงานพระสูตรก็รูดม่าน	ขุนนางอลหม่านอยู่ตัวสั่น
ราชมนูก็ชูพุ่มสุวรรณ	แตรสังข์ดังลั่นประโคมไป
ข้าราชการน้อยใหญ่ก็หมอบราบ	ก้มเกล้าลงกราบหาช้าไม่
มีพระโองการพลันทันใด	สั่งให้ไปหาแขกเมืองมา ฯ
๏ พระอำมาตย์รับพระราชโองการ	สั่งราชาบาลให้ไปหา
ตำรวจในวิ่งไขว่กันไปมา	พนักงานก็พาเข้าเฝ้าพลัน
ถึงหน้าพระที่นั่งต่างบังคม	ยอกรประนมอยู่ตัวสั่น
กราบถวายบังคมลงพร้อมกัน	หมอบเฝ้าเป็นหลั่นอันดับมา
หลวงราชนิกูลทูลเบิกพลัน	ขอเดชะทรงธรรม์โปรดเกศา
บัดนี้ราชทูตนั้นเข้ามา	เฝ้าเบื้องบาทาพระทรงธรรม์ ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ชำเลืองพระเนตรผายผัน
เห็นราชทูตมาถวายบังคมคัล	กับทั้งเครื่องสุวรรณบรรณา
จึงตรัสประภาษปราศรัย	มาในป่าไม้ใบหนา
กี่วันจึงถึงพระพารา	มรรคายากง่ายประการใด
อนึ่งกรุงนาคบุรี	ข้าวกล้านาดีฤๅไฉน
ฤๅฝนแล้งข้าวแพงมีภัย	ศึกเสือเหนือใต้สงบดี
ทั้งองค์พระเจ้าเวียงจันทน์	ทรงธรรม์เป็นสุขเกษมศรี
ไม่มีโรคายายี	อยู่ดีฤๅอย่างไรในเวียงจันทน์ ฯ
๏ ราชทูตสนองพระโองการ	ขอเดชะพระผู้ผ่านมไหศวรรย์
มรคามาสะดวกสี่สิบวัน	เมืองนั้นเป็นสุขไม่มีภัย
ข้าวปลานาปรังยังตั้งต้น	เป็นผลหาขาดหาแคลนไม่
ศึกเสี้ยนศัตรูหมู่ภัย	มิได้กระชิดติดพารา
พระองค์ผู้ครองนัคเรศ	พระเดชฟุ้งเฟื่องทุกทิศา
ทรงธรรม์เป็นสุขทุกเวลา	มิได้มีโรคามายายี ฯ
๏ ปางพระองค์ทรงทราบที่กราบทูล	นเรนทร์สูรปรีดิ์เปรมเกษมศรี
พระราชทานเสื้อผ้าแพรดี	ทั้งที่อยู่สำราญบานใจ
ครั้นถ้วนคำรบครบเจ็ดวัน	เสนาพร้อมกันหมอบไสว
ตรัสสั่งราชทูตให้กลับไป	เกณฑ์ไพร่ห้าร้อยในทันที
ให้พระท้ายนํ้านั้นคุมไป	จัดของตอบให้ไปตามที่
แพรพรรณเงินทองของดีดี	พระที่นั่งกิริณีหลังคาทอง
กับทั้งสุวรรณลิขิต	อย่าให้ผิดถ้อยคำทำเศร้าหมอง
หอกง้าวหลาวแหลนทวนทอง	ป้องกันอย่าให้มีอันตราย ฯ
๏ ผู้รับสั่งถอยหลังออกจากเฝ้า	เกณฑ์เหล่าอาสามามากหลาย
บรรณาการของประเสริฐเพริศพราย	ช้างม้าพรรณรายมณีดี
หอกง้าวหลาวแหลนปืนไฟ	แต่งไปทั้งพระราชสารศรี
แล้วกราบทูลพลันทันที	มีพระราชโองการให้ยกไป ฯ
๏ ฝ่ายว่าราชทูตพระท้ายนํ้า	ยกพลคลาคลํ่าจากกรุงใหญ่
ช้างม้าพากันเดินดาษไป	ยิงปืนไฟโห่ร้องกึกก้องมา
พลบคํ่าตั้งค่ายรายขวาก	ลากขอนสุมไฟที่ในป่า
เช้าไปคํ่ายั้งไม่รั้งรา	มาได้เดือนหนึ่งกับสิบวัน
ถึงกรุงศรีสัตนาหน้าบุรี	ให้หยุดโยธีแข็งขัน
ยับยั้งอยู่ฟากพานพร้าวพลัน	ให้เพี้ยสุวรรณบัตรไป
อุปฮาดแสนหลวงก็ทักถาม	แจ้งความมีมาแต่เมืองใต้
เสด็จออกพระโรงคัลทันใด	พร้อมในที่เฝ้าพระทรงธรรม์ ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ชำเลืองพระเนตรผายผัน
เห็นเพี้ยสุวรรณบัตรพลัน	พระพักตร์แจ่มดังจันทร์จำรัสฟ้า
เออเอ็งลงไปถึงเมืองใต้	ได้การอย่างไรให้เร่งว่า
อนึ่งพระเจ้ากรุงอยุธยา	ปราศรัยดีร้ายประการใด
เพี้ยสุวรรณบัตรได้รับสั่ง	บังคมทูลมาหาช้าไม่
พระเจ้าอยุธยาพาราไทย	ปราศรัยถามถึงพระบาทา
แล้วให้ประทานรางวัล	เสื้อผ้าแพรพรรณเป็นหนักหนา
ให้พระท้ายน้ำนำพลมา	ถวายราชบรรณาแล้วรับนาง ฯ
๏ ทรงฟังดังน้ำอัมฤตรส	ซึ่งเพี้ยทูลปรากฏไม่อางขนาง
จึงดำรัสตรัสสั่งเสนาพลาง	ให้ปลูกโรงในหว่างข้างศาลา
สำหรับจะรับพระท้ายน้ำ	กับไพร่พลที่นำมาหนักหนา
สั่งวิเสทให้แต่งโภชนา	เลี้ยงดูโยธาพวกกรุงไทย
ผันพระพักตร์มาสั่งอุปฮาด	จงจัดแจงรับราชทูตใต้
สั่งพลางย่างเยื้องเข้าปรางค์ใน	สถิตยังแท่นวิไลหิรัญยวง ฯ
๏ ครานั้นเสนาผู้รับสั่ง	จึงเกณฑ์ทั้งตำรวจใหญ่ไพร่หลวง
ให้ทำโรงตามรับสั่งสิ้นทั้งปวง	แล้วเสร็จไม่ล่วงสามราตรี
ฝ่ายว่าอุปฮาดก็บาตรหมาย	เกณฑ์ฝีพายพร้อมพรั่งทั้งเรือศรี
เป็นหลายลำจํ้าข้ามฟากวารี	ถึงที่พานพร้าวเข้าทันใด
จึงเชิญพระท้ายนํ้าให้นำพล	จรดลมาหมดทั้งนายไพร่
ถึงวังยับยั้งศาลาลัย	วิเสทในยกโภชนามา
เลี้ยงเป็นเหล่าเหล่าลาวคอยชี้	ข้าวเหนียวหักหลังดีไม่เมื่อยขา
แจ่วห้าแจ่วหกยกออกมา	ทั้งน้ำยาปลาคลุกหนมจีนพลัน
น้ำพริกลูกหมากมาดไข่ปลาบึก	ข้อยนึกทำให้แซบเป็นหยังซั่น
เลี้ยงแล้วสำเร็จเสร็จพลัน	พากันมาอยู่โรงแขกเมือง ฯ
๏ ครานั้นพระเจ้ากรุงล้านช้าง	สำอางพระองค์แล้วทรงเครื่อง
เสด็จออกท้องพระโรงอร่ามเรือง	เสนาเนื่องเฝ้าแหนออกแน่นไป
สั่งให้เบิกพระท้ายนํ้ามา	ตำรวจลาวสักขาวิ่งออกไขว่
มาถึงบอกพลันทันใด	เชิญเจ้าคุณเข้าไปพระโรงคัล ฯ
๏ ครานั้นพระท้ายน้ำสั่งบ่าวไพร่	ขนบรรณาการไปขมีขมัน
เข้าไปเฝ้าองค์ท้าวเจ้าเวียงจันทน์	ถวายสารอภิวันท์เจ้าพารา
เพี้ยกวานรับประณตบทมาลย์	แล้วคลี่ราชสารออกอ่านว่า
ในลักษณลิขิตอิศรา	พระทรงภพอยุธยาธานี
ซึ่งสถิตในเศวตฉัตรชั้น	ปราสาทสุวรรณอันเรืองศรี
ทราบว่ากรุงนาคนะหุตนี้	จะถวายบุตรีวิลาวัณย์
ในพระทัยใสโสมนัสนัก	จะได้เฉลิมลักษณ์ภิเษกสรรค์
เป็นอรรคมเหษีร่วมที่กัน	ให้มารับจอมขวัญนั้นลงไป ฯ
๏ ครั้นอ่านเสร็จสิ้นสารศรี	เพี้ยกวานอัญชลีประนมไหว้
พระท้ายนํ้าก็ทูลไปทันใด	บรรณาการนั้นไซร้นานา
รับสั่งให้ถวายเบื้องบาท	พระผู้ดำรงราชย์นาถา
ทูลแล้วเสร็จพลันวันทา	คอยฟังบัญชาพระทรงธรรม์ ฯ
๏ ครานั้นพระผู้ผ่านนาคนะหุต	มีพระทัยใสสุดเกษมสันต์
จึงตรัสแก่พระท้ายน้ำพลัน	สิบห้าวันเราจะส่งนางลงไป
ตรัสพลางทางเสด็จยุรยาตร	ขึ้นจากพระโรงราชวินิจฉัย
พระท้ายน้ำบังคมลาคลาไคล	ไปอยู่ในที่ประทับยับยั้งพล ฯ
