๏ จะกล่าวถึงพระองค์ผู้ทรงศักดิ	ปิ่นปักนัคเรศเขตขัณฑ์
หุ่นพลิกกระดิกดิ้นอยู่ไม่ลุก	ต้องเสกปลุกข้าวปรายเป็นหลายหน
จึงขยับกลับลุกขึ้นเป็นคน	ซ้ำพิกลอาวุธก็ไม่มี
พระไวยหวาดไหวให้ใจหาย	กูจะตายด้วยอ้ายมอญฤๅไรนี่
จับยามดูพลันในทันที	วันนี้วันพุธเป็นอุตใน
ยามจันทร์ถลันเข้าอยู่กลาง	เศษเสาร์เข้าขวางเป็นศึกใหญ่
ในตำราว่ามิใช่คนอื่นไกล	เนื้อไขเขม้นจะเล่นกัน
บริกรรมซ้ำซัดข้าวสารไป	หุ่นก็ได้อาวุธครบมือมั่น
พอแสงเดือนเด่นฉายพรายพรรณ	ให้ยกเลิกพลขันธ์สนั่นมา ฯ
๏ จะกล่าวถึงวันทองที่ต้องโทษ	พระองค์ทรงโปรดให้เข่นฆ่า
เมื่อขาดใจอาลัยถึงลูกยา	เวราพาเป็นอสุรกาย
วันนั้นพระไวยจะไปศึก	นางนึกสำคัญมั่นหมาย
เกรงฤทธิบิดาจะฆ่าตาย	กลับกลายเพศเพี้ยนเป็นนารี
ผิวผ่องละอองพักตร์ปลั่งเปล่ง	ดังดวงจันทร์วันเพ็งประไพศรี
ประมาณชันษาสิบห้าปี	ท่วงทีมารยาทดังนางใน
ผ้ายกตานีนุ่งพุ่งทอง	สอดสองซับสีดูสดใส
กรองนอกดอกฉลุดดวงละไม	เส้นไหมย้อมม่วงเป็นมันยับ
ก้านแย่งโคมเพชรเจ็ดเหลี่ยม	กรวยเชิงช่อเอี่ยมดังแบบจับ
ซัดแสดสอดสีทับทิมทับ	นางแกล้งแต่งประดับประดิษฐกาย
เฉิดโฉมประโลมลานสวาดิ	ชะอ้อนอ่อนเอวสะอาดสะอิ้งสาย
สร้อยสังวาลสุวรรณพรรณราย	แต่ละเม็ดเพชรกระจายกระจ่างดวง
สองเต้าตูมเต่งเคร่งครัด	ดอกไม้ทัดทั้งห่อผ้าห่มหวง
กรองร้อยสร้อยสนกระสันทรวง	ร่ำร้องเสียงร่วงรำพันไป
พัดชาช้าลูกหลวงหวนละห้อย	น้ำค้างย้อยตะวันตกนกไห้
สักวาดอกสร้อยละห้อยใจ	เสียงหวานวิเวกในพนาลี ฯ
๏ พระไวยขับม้ามาถึงนั่น	พอพระจันทร์เพ็ญผ่องละอองศรี
เสียงเสนาะเพราะชัดเป็นสตรี	ก็หยุดยั้งโยธีอยู่กลางทาง
ลงจากม้าพลันในทันใด	เยื้องยุรยาตรไปไม่เกรียบกร่าง
แฝงไม้แลไปเห็นโฉมนาง	ทรงบางตละหล่อออกจากพิมพ์
ผิวปลั่งดังทองทาระทวย	มือสวยสิบนิ้วดูนุ่มนิ่ม
งามระบอบรอบไรเจ้าเรียบริม	พร้อมพริ้มเพราทั่วทั้งกายา
หวานอ่อนร่อนเสียงเสนาะดง	ดังเสียงหงส์เหาะเหินในเวหา
แสนสวาดินาฏน้องไม่พริบตา	แฝงพฤกษาสอดแลตะลึงไป ฯ
๏ ครานั้นนางเปรตอสุรกาย	แยบคายทำหาเห็นพระไวยไม่
แช่มช้อยร้อยกรองพวงมาลัย	สำราญร้องเรื่อยในพนาวัน
ทำเดินเก็บดอกไม้ไม่สงกา	ถอยหลังละเลิงมาไม่ผินผัน
กระทั่งถึงต้นไม้พระไวยพลัน	สะดุ้งหวีดหวาดหวั่นผวาไป
ทิ้งพวงดอกไม้กรองร้องตระหนก	ประคองอกอ่อนวิ่งมิใคร่ไหว
แอบพุ่มพฤกษาประหม่าใจ	แกล้งใส่เล่ห์ล่อให้ละลานตา ฯ
๏ ครานั้นจึงโฉมพระหมื่นไวย	แสนสำราญบานใจเป็นหนักหนา
กระหยิ่มยิ้มยุรยาตรนาดมา	ชะอ้อนเอื้อนโอภารำพันไป
แก้วตาอย่าประหม่ากมลหมอง	จะหวีดร้องจรดลไปหนไหน
เสียดายผิวจะเผือดอย่าเดือดใจ	ขวัญจะโบยบินไกลกำลังกลัว
มานี่เถิดพี่จะรับขวัญ	ซึ่งผาดผันโผนไปในไพรทั่ว
ให้คืนเข้าร่างน้องประคองตัว	เจ้าอย่าประหม่ามัวให้หมองใจ
อยู่เดียวเปลี่ยวอกในอารัญ	เพื่อนพูดจาสารพันหามีไม่
ยามหนาวเจ้าจะนอนในกลางไพร	ไม่มีใครโอบอุ้มให้อุ่นดี
กุศลส่งพี่ตรงมาพบน้อง	ขอประคองเคียงกายไม่หน่ายหนี
จะอยู่ด้วยน้องน้อยสักร้อยปี	แก้วพี่อย่าสะทกสะเทิ้นใจ
ปลอบพลางทางย่างขยับเยื้อง	ชายชำเลืองโลมเลียมเข้าไปใกล้
ขยับมือมาแม่อย่าเมินไป	ขอดอกไม้สักหน่อยที่ร้อยกรอง ฯ
๏ ครานั้นนางเปรตอสุรกาย	แยบคายเชิงดีไม่มีสอง
เห็นลูกชายและเลียมเทียมคะนอง	ก็โผนผาดแผดร้องระงมไพร
ตวาดมาว่าเหวยพลายงามลูก	มาดูถูกข่มเหงหาเกรงไม่
ลุ่มหลงโลภว่าประสาใจ	กูไซร้สาธารณ์คือมารดา
ชื่อว่าวันทองที่ต้องโทษ	พระกริ้วโกรธสั่งให้ไปเข่นฆ่า
ตายไปใจผูกด้วยลูกยา	ตามมาจะบอกซึ่งร้ายดี
ตัวเจ้าจะยกออกไปทัพ	น่าจะยับเยินย่อยถอยหนี
ศึกนี้หนักหนาสง่ามี	ไพรีเรี่ยวแรงจะรุกราน
รอรั้งระวังให้จงดี	จะเสียทีอย่าโหมเข้าหักหาญ
ว่าแล้วเผ่นโผนโจนทะยาน	เสียงสะท้านทั่วท้องพนาวัน
สูญหายกลับกลายไปตามเพศ	เป็นเปรตสูงเยี่ยมเทียมสวรรค์
ไม่มีหัวตัวทะมื่นยืนยัน	เหียนหันหายวับไปกับตา ฯ
๏ พระไวยหวั่นหวาดอนาถนัก	เห็นประจักษ์ว่าแม่แน่หนักหนา
สยดสยองพองหัวกลัวมารดา	น้ำตาพรากพรากลงพร่างพราย
โอ้แม่เจ้าประคุณของลูกแก้ว	สิ้นซากศพแล้วไม่สูญหาย
ลูกทำบุญส่งให้ไปมากมาย	ยังไม่วายความชั่วที่ตัวทำ
เอาเพศเป็นเปรตอสุรกาย	กลับกลายตามมาเวลาค่ำ
สั่งสอนวอนบอกให้ลูกจำ	มีพระคุณเช้าค่ำแต่เป็นคน
แม่ตายหายลับมาหลายปี	พึ่งมาเห็นวันนี้ในไพรสณฑ์
ห้ามลูกมิให้ไปประจญ	จะเสียตนตายด้วยฝีมือมอญ
ท่านขุนแผนพ่อก็ตายแล้ว	สุดที่ลูกแก้วจะผันผ่อน
ถึงคืนทัพกลับเข้าพระนคร	พระทรงธรรม์บั่นรอนก็บรรลัย
ชาติชายเป็นตายไม่ย่อท้อ	จะแก้แค้นแทนพ่อให้จงได้
แม่อย่าเป็นห่วงบ่วงใย	พลางกราบไหว้สะอื้นกลืนน้ำตา
แล้วมาขึ้นม้าพาพวกพล	ดั้นด้นตัดทุ่งมุ่งป่า
พอแสงเดือนเคลื่อนดับลงลับฟ้า	ยกมาถึงบางกระทิงพลัน
ตัดไม้ตั้งค่ายสนามเพลาะ	หอรบครบเหมาะทุกสิ่งสรรพ์
รั้วขวากปักช่องป้องกัน	ให้ม้าใช้ไปพลันเอาเหตุมา ฯ
๏ ครานั้นชุมพลรณรงค์	เสียงโห่ร้องก้องดงสนั่นป่า
ตรึกตรองสองคนกับบิดา	จะรบราพระไวยให้ได้ที
สืบรู้ว่ามาตั้งบางกระทิง	ด้วยเกรงล่วงช่วงชิงเอาชัยศรี
ขุนแผนแสนฤทธิราวี	แต่งเครื่องบัตรพลีพลีการ
ธงกระดาษราชวัติเฉวียนปัก	จับสายสิญจน์ชักทุกเสาศาล
ธูปเทียนจุดจรัสชัชวาล	เครื่องอานดาบประจุประจงดี
ขุนแผนเสกซัดข้าวสารส่ง	ชุมนุมองค์เทวาทุกราศี
อสุรยักษ์ครุฑาวาสุกรี	ฝูงผีภูตโขมดมารยา
ทั้งฤๅษีสิทธิ์วิทยาธร	ทวยเทพนิกรถ้วนหน้า
เชิญรับเครื่องสังเวยวัฒนา	แล้วปลุกเครื่องสาตราในทันใด
เครื่องอานบันดาลสะดุ้งโดด	ดาบกระดิกพลิกโลดดังลูกไก่
แกว่งกวัดฉวัดเฉวียนเวียนระไว	แล้วติดไฟชุบย้อมให้ลูกยา
ไฟดับกลับพรมด้วยน้ำว่าน	กายแข็งทนทานขึ้นหนักหนา
อยู่คงสารพัดสาตรา	มิ่งม้าก็ลงให้คงทน
เสร็จแล้วจึงแต่งแปลงเจ้าพลาย	ให้ดูคล้ายมอญใหม่ให้ฉงน
เป่าซ้ำด้วยพระเวทวิเศษมนตร์	แล้วเตรียมตนจะไปช่วยยุทธนา ฯ
๏ ครั้นฟ้าขาวดาวประกายพรึกขึ้น	สองทัพโห่ครื้นสนั่นป่า
ออกจากค่ายพลันทันเวลา	โยธาทั้งสองคะนองฤทธิ
พระไวยขับม้าพาทหาร	โอมอ่านคาถาประกาศิต
ชุมพลชักม้ามาประชิด	ขุนแผนแอบมิดจะดูที
พอทัพต่อทัพเข้าถึงกัน	ยิงแย้งแทงฟันกันอึงมี่
สองข้างต่างมุ่งเข้าราวี	มิได้มีย่อท้อต่อณรงค์
พลหุ่นหมุนมุ่งเข้าสู้กัน	แทงฟันตอบโต้แล้วโห่ส่ง
ทะลวงโลดโดดประจญทนคง	ตีต่อยตะบันลงไม่ละกัน
พวกทหารสามสิบห้าไม่ราถอย	หอกสอยดาบร่ำเข้าห้ำหั่น
พวกหุ่นหมุนร่าเข้าฝ่าฟัน	คนขยั้นย่นย่อรอระอา
ฮึดฮัดขัดใจไล่พิฆาต	ไม่ไหวหวาดอ้ายมอญนี่หนักหนา
พระไวยเห็นพลร่นลงมา	มือขวาคว้าซัดข้าวสารไป
พอข้าวมนตร์หล่นต้องหุ่นชุมพล	กลายเป็นหญ้ายับป่นไม่ทนได้
ชุมพลชักม้าผ่าพลไกร	เป่าไปด้วยพระเวทวิทยา
ต้องพวกหุ่นมนตร์พลพระไวย	ก็ย่อยยับกลับไปเป็นฟ่อนหญ้า
สองนายบ่ายห้ามโยธา	ก็รั้งราหยุดรบประจัญบาน ฯ
๏ พระไวยเพ่งไปเห็นมอญน้อย	กะจ้อยร่อยเอวกลมสมทหาร
แปลกน้องต้องมนตร์ให้บันดาล	พึ่งรุ่นพานยังไม่พบฝีมือกู
เย่อหยิ่งยกตัวไม่กลัวใคร	ทะนงใจจองหองจะปองสู้
จะฟังคำทำนองมันลองดู	ความรู้มันจะมีสักเพียงไร
จึงร้องมาว่าเหวยอ้ายมอญน้อย	กะจ้อยร่อยใจกำเริบเติบใหญ่
ตัวเด็กเล็กน้อยไม่สมใจ	ชื่อไรบอกความไปตามจริง
พระสงฆ์องค์ใดเป็นครูบา	สอนวิชามาให้สักกี่สิ่ง
เข้าสู้รบกับเราเข้าจริงจริง	แล้วจะวิ่งวุ่นหลบไม่พบตัว
บิดามารดาเอ็งชื่อไร	อยู่เมืองไหนบอกกูให้รู้ทั่ว
องอาจประมาทใจช่างไม่กลัว	ใครยั่วให้มึงยกมาทำไม
มึงมาฆ่าฟันท่านขุนแผน	ขัดแค้นท่านทำอะไรให้
ฤๅกวนมึงถึงเมืองให้เคืองใจ	ไปไล่จับพ่อแม่ของมึงมา ฯ
๏ ครานั้นเจ้าพลายชายชุมพล	แยบยลพูดเพี้ยนเป็นหงสา
กูฤๅชื่อสมิงมัตรา	บิดากูผู้เรืองฤทธิไกร
ชื่อสมิงแมงตะยะกะละออน	ในเมืองมอญใครไม่รอต่อได้
เลื่องชื่อฦๅฟุ้งทุกกรุงไกร	แม่ไซร้ชื่อเม้ยแมงตะยา
พระครูกูเรืองฤทธิเวท	พระสุเมธกะละดงเมืองหงสา
จะมาลองฝีมือไทยให้ระอา	ถ้าใครกล้ากูจะฟันให้บรรลัย
อันสมบัติในศรีอยุธยา	กูหาปรารถนาสิ่งใดไม่
ขุนแผนยกพลมาชิงชัย	กูจับได้จึงฟันหั่นประจาน
เอ็งนี้มีนามกรใด	เจ้าไทยเลี้ยงเป็นยอดทหาร
พระองค์ใดได้เป็นพระอาจารย์	อนึ่งท่านบิดานั้นชื่อไร
ทั้งชื่อมารดาก็อย่าพราง	บอกบ้างให้กูสิ้นสงสัย
ฤทธากล้าหาญประการใด	อาจใจออกมาต่อฝีมือกู ฯ
๏ เฮ้ยอ้ายมอญสมิงมัตรา	กูกล้าจึงยกมาต่อสู้
ฤทธิเดชอย่างไรคงได้รู้	ซึ่งสูถามถึงพระอาจารย์
อันความรู้กูมิได้เป็นศิษย์สงฆ์	เพราะพ่อกูเชื้อวงศ์พงศ์ทหาร
ชื่อว่าขุนแผนแสนสะท้าน	ท่านให้ความรู้แก่กูมา
แม่กูชื่อว่านางวันทอง	ชื่อของกูนี้ไม่มุสา
ชื่อว่าพลายงามแต่เดิมมา	ชื่อตั้งนั้นว่าจมื่นไวย
มึงอย่าทะนงองอาจ	ประมาทว่าจับขุนแผนได้
หากแก่เถ้าแรงน้อยถอยไป	กูนี้ไม่กลัวมึงเท่าเล็บมือ ฯ
๏ ชุมพลตบขาแล้วว่าไป	มึงพูดนี้ไซร้ไม่สัตย์ซื่อ
กูเข้าใจมิใช่คนอื่นฦๅ	คือท่านขุนแผนแกบอกมา
กูไต่ถามได้ความมาแต่หลัง	ต่อแกเล่าให้ฟังแล้วจึงฆ่า
ว่าลูกชายคนหนึ่งพึ่งรุ่นมา	เป็นลูกแก้วกิริยาชื่อชุมพล
หนีไปแห่งไรมิได้รู้	แกบอกกล่าวเล่ากูมาแต่ต้น
ว่าลูกเลี้ยงยังมีอยู่อิกคน	เจ้าตนตั้งให้เป็นหมื่นไวย
มารดาชื่อว่านางวันทอง	จะเป็นลูกของแกนั้นมิใช่
เป็นลูกอ้ายขุนช้างจัญไร	พ่อมึงนั้นไซร้อยู่สุพรรณ
ขนอกรุงรังกระทั่งคาง	กระหม่อมบางผีขอดตลอดขวัญ
เอ็งหากอายใจไม่บอกกัน	พันพึ่งขุนแผนว่าบิดา ฯ
๏ พระไวยขัดใจดังไฟฟอน	เหม่อ้ายมอญค่อนแคะมุสาว่า
โมโหฮัดฮึดมืดมัวตา	ไม่ทันอ่านคาถาพระเวทมนตร์
แกว่งดาบตัวสั่นถลันโลด	กำลังโกรธขับม้าโกลาหล
เข้าห้ำหั่นฟันฟาดพลายชุมพล	ฉาดฉับรับประจญประจัญบาน
เสียงดาบต่อดาบฟันกันฉับฉาด	ม้าต่อม้าผ่าผงาดเข้าต่อต้าน
พวกหุ่นหมุนโลดโดดทะยาน	เข้าไล่รานรุกพหลพลไกร
หุ่นต่อหุ่นทิ่มแทงแย้งยุทธ	กระชากฉุดชิงหอกกรอกไล่
ปล้ำรัดฟัดกันสนั่นไป	พวกไพร่สามสิบห้าระอาตัว
สู้หุ่นสิ้นแรงลงแพลงพลิก	พวกหุ่นหมุนขยิกเข้าจิกหัว
เอาสันหอกตอกรันตัวสั่นรัว	ดิ้นหลุดมุดตัวเข้าแฝงรก
ชุมพลกับพระไวยไล่พิฆาต	แพลงพลาดกอดชิดเข้าติดอก
พัลวันปล้ำกันอยู่งันงก	ดาบตกกอดติดกันพัวพัน ฯ
๏ ขุนแผนแค้นใจดังไฟฟ้า	ขับม้าวิ่งวางดังกางหัน
กู่ก้องร้องไปแต่ไกลกัน	ชุมพลจับให้มั่นพ่อฟันเอง
พระไวยแลไปพอเห็นพ่อ	ผละคอน้องโลดกระโดดเหยง
ขับม้าวิ่งวางกำลังเกรง	เสียเพลงทวนท่าชุมพลแทง
ถูกอักหอกหักหาเข้าไม่	พระไวยขับม้าออกจากแหล่ง
ขุนแผนแค้นใจไล่ทแยง	พวกหุ่นหมุนแทงที่ไพร่พล
พวกไพร่สามสิบห้าผ้าผ่อนหลุด	มุดแฝกแหวกป่าโกลาหล
ความกลัวหนีซุกไปทุกคน	หนามเหนี่ยวเกี่ยวป่นไปทั้งตัว
เสียงแกรกเข้าไม่ได้ไปปะเลง	ร้องขอโทษตัวเองพ่อทูนหัว
พลบค่ำย่ำคลุ้มชอุ่มมัว	รอดตัวแล้วอ้ายพ่อแล่นต่อไป ฯ
๏ พระไวยขับม้าผ่าท้องทุ่ง	หมายมุ่งตรงมาหาช้าไม่
หน้านิ่วหิวบอบหอบหายใจ	ตรงไปข้ามวัดธรรมา
คนเห็นพระไวยตกใจวิ่ง	ฉิบหายตายจริงเจียวสิหว่า
พระไวยแตกทัพยับเยินมา	ชาวพาราตื่นทั่วทั้งเวียงชัย
มิได้รู้ศัพท์สัญญา	ว่าศึกเสือนั้นมาแต่ข้างไหน
ผู้คนอลหม่านวิ่งพล่านไป	พระไวยมาถึงประตูวัง ฯ
๏ ครานั้นสมเด็จพระพันวษา	เสด็จออกเสนาอยู่คับคั่ง
ได้ยินเสียงชาวบ้านสะท้านดัง	ทรงฟังไม่แจ้งว่าเหตุใด
เอ๊ะอะไรอื้ออึงกันหนักหนา	อ้ายไวยแตกทัพมาฤๅไฉน
เฮ้ยใครไปดูให้แจ้งใจ	พอพระไวยลงม้าเข้ามาพลัน
ครั้นถึงประนมก้มกราบกราน	สะทกสะท้านความกลัวจนตัวสั่น
หน้านิ่วหิวหอบบอบครัน	นิ่งอั้นอยู่ไม่ว่าประการใด ฯ
๏ ครานั้นสมเด็จพระพันวษา	เห็นพระไวยเข้ามาหาทูลไม่
พระจึงมีสีหนาทประภาษไป	มึงได้การอย่างไรจึงกลับมา ฯ
๏ ครานั้นจมื่นไวยวรนาถ	ครั่นคร้ามขามขยาดเป็นหนักหนา
จวนตัวด้วยกลัวพระอาญา	เงยหน้าขึ้นทูลพระทรงธรรม์
ขอเดชะฝ่าละอองธุลีบาท	องค์หริรักษ์ราชรังสรรค์
ขอประทานชีวิตโทษผิดครัน	ชีวันอยู่ใต้พระบาทา
ยกไปหมายว่าข้าศึกมอญ	เข้ารบรอต่อกรเป็นหนักหนา
ครั้นห้ำหั่นมันตายกลายกายา	เป็นหุ่นหญ้าจึงแจ้งว่าแต่งกล
แม่ทัพกับหม่อมฉันตัวต่อตัว	ก็พันพัวฟาดฟันกันหลายหน
ไม่ทราบว่าน้องชายพลายชุมพล	จนเห็นท่านขุนแผนแล่นออกมา
ร้องกำชับให้จับกระหม่อมฉัน	บิดาหมายมั่นจะฟันฆ่า
หนีได้จึงไม่มรณา	พระราชอาญาไม่พ้นไป
อันเจ้าพลายชุมพลคนนี้	มิใช่เป็นน้องร่วมท้องไส้
เป็นบุตรแก้วกิริยายาใจ	ท่านขุนแผนก็ได้เป็นบิดา ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ฟังเหตุตามคำพระไวยว่า
ทรงดำริตริไตรอยู่ไปมา	แล้วมีพระบัญชาไปทันใด
อ้ายแผนมันทำมาทั้งนี้	หารู้ที่จะว่าอย่างไรไม่
มันก็ถือสัตย์ธรรม์เป็นมั่นใจ	ไม่เห็นที่จะเป็นขบถกู
มาดแม้นทุจริตคิดเช่นนั้น	ทองประศรีแม่มันก็ยังอยู่
ไฉนตัวมันจะพลัดเป็นศัตรู	กูคิดดูเห็นผิดจริตไป
อันตัวกูเป็นหลักปัถพี	ถึงใครมีฤทธิเดชไม่สู้ได้
เทวดารักษาซึ่งราชัย	ก็แจ้งใจกันทั่วทั้งพารา
มันเป็นแต่ข้าฝ่าละออง	ไหนจะปองพิภพนาถา
ถ้าเขม้นจะเล่นอยุธยา	ปานนี้ก็จะมาถึงกรุงไกร
ชะรอยอ้ายนี่คงมีแค้น	อ้ายแผนมันหาเป็นขบถไม่
ฤๅมึงโวหารประการใด	มันแค้นใจจึงทำเป็นกลมา
แม้นมันทุจริตคิดเป็นพาล	ไพร่บ้านพลเมืองคงเข่นฆ่า
นี่ใครใครก็ไม่มรณา	อ้ายพ่อลูกไล่ฆ่ามึงคนเดียว ฯ
๏ ครานั้นจมื่นไวยวรนาถ	อภิวาทนิ่งนึกตรึกเฉลียว
พระเคลือบแคลงแหนงจริงทุกสิ่งเจียว	จะเลี่ยงเลี้ยวไม่ทูลก็ใช่ที
คิดแล้วบังคมบรมนาถ	ขอเดชะพระบาทปกเกศี
เมื่อแรกเริ่มเดิมเหตุจะเกิดมี	กระหม่อมฉันนั้นตีศรีมาลา
ตีกันอลวนชุมพลห้าม	ความโกรธไม่ทันจะดูหน้า
ตีต้องชุมพลก็โกรธา	ดั้นป่าหนีไปกาญจน์บุรี
บอกท่านขุนแผนผู้บิดา	ลงมาว่ากล่าวอึงมี่
ว่าสร้อยฟ้าทำเล่ห์เสน่ห์ดี	กระหม่อมฉันยังมีความแคลงใจ
บิดาโกรธาว่าไม่เชื่อ	เงือดเงื้อฟ้าฟื้นทะลึ่งไล่
หากวันนั้นหนีทันไม่บรรลัย	ขัดใจจึงทำเป็นกลมา ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ได้ฟังเหตุตามพระหมื่นไวยว่า
กูดูมึงมัวหมองเหมือนต้องยา	พ่อมึงบ้าหลังไปเมื่อไรมี
ถ้าแม้นถุ้งเถียงกันเพียงนั้น	จะเกิดรบพุ่งกันนั้นใช่ที่
ไม่สมควรที่จะฆ่าราวี	ความจริงยังจะมีอยู่มากมาย
จะให้ไปรับมันเข้ามา	ปรึกษาตัดสินเสียให้หาย
จะให้ใครไปรับเกลือกกลับกลาย	เอ็งคิดเพทุบายให้จงดี ฯ
๏ ครานั้นพระไวยวรนาถ	รับพระราชบัญชาเหนือเกศี
กราบทูลไปพลันในทันที	เห็นไม่มีผู้ใดจะออกไป
แต่ครั้งเมื่อขุนเพชรกับขุนราม	ออกไปตามยังเกิดเป็นศึกใหญ่
ครั้งนี้หาคนที่ชอบใจ	จึงจะได้พ่อลูกนั้นเข้ามา
เห็นแต่ศรีมาลาลูกสะใภ้	ผิดชอบอย่างไรท่านไม่ว่า
ขอพระองค์ทรงพระกรุณา	โปรดหามาใช้ให้ออกไป
พระองค์ทรงสดับก็ตรัสสั่ง	ตำรวจวังเรียกมาอย่าช้าได้
นายจงวิ่งตรงไปทันใด	ได้ตัวศรีมาลาเข้ามาพลัน
นางนบนอบหมอบเฝ้าพระภูธร	เห็นพระไวยเคืองค้อนอยู่คมสัน
ถอยกระถดลดเลื่อนให้ห่างกัน	ผินผันหลบเลี่ยงไม่แลมา ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ทอดพระเนตรผันแปรทั้งซ้ายขวา
เห็นพระไวยเป็นทีกับศรีมาลา	จึงตรัสเรียกเข้ามาให้ใกล้กัน
ท่วงทีดูอย่างไรไม่ปรกติ	ดำริแล้วก็ทรงพระสรวลสันต์
อีนี่ท่วงทีมันดีครัน	กับอีสร้อยฟ้านั้นเป็นกะไร
เอ็งเร่งไปรับอ้ายสองคน	ทั้งอ้ายแผนกับชุมพลมาให้ได้
เล่าให้มันฟังกูสั่งไป	กูไม่เอาโทษให้ถึงตาย ฯ
๏ ศรีมาลาประนมก้มเกศา	ซึ่งทรงพระกรุณาให้ผันผาย
ขอพระเดชป้องกันอันตราย	ให้พ่อแผนลูกชายคลายโกรธา
เกล้ากระหม่อมก็ประหวั่นพรั่นใจ	แต่พระไวยยังวิ่งตลอดป่า
อันสตรีนี้ไม่มีวิทยา	แข็งใจอาสาด้วยทรงใช้
ทูลพลางก็ถวายบังคมลา	พระไวยออกหน้าหาช้าไม่
เดินพลางนางสะเทิ้นเขินใจ	พอถึงบ้านพระไวยเข้าทันที
ย่างเท้าก้าวขึ้นบนเคหา	ฝ่ายว่าท่านย่าทองประศรี
แลไปไม่รู้ว่าร้ายดี	ออไวยไยหนีตาทัพมา ฯ
๏ พระไวยบอกย่าน้ำตาไหล	คิดว่าศึกใครเล่าคุณย่า
แค้นน้ำตาถั่งลงหลั่งตา	บิดาควรฤๅเป็นได้เช่นนี้
กับลูกชายพลายชุมพลคนคะนอง	หมายปองจะฆ่าให้เป็นผี
หนีได้จึงไม่ม้วยชีวี	รับสั่งให้ศรีมาลาไป
รับพ่อขุนแผนกับชุมพล	สองคนเข้ามาให้จงได้
ว่าพลางขัดแค้นแน่นใจ	อัดอั้นกลั้นไว้ไม่เจรจา ฯ
๏ ครานั้นท่านย่าทองประศรี	ได้ฟังคดีหลานชายว่า
เต้นหรบขบเหงือกเหลือกตา	แปร้นด่าเสียงอึงคะนึงไป
คิดว่ามอญใหม่ที่ไหนมา	มิรู้ฆ่ากันเองก็เป็นได้
ลูกหลานเป็นหอกแหลนน่าแค้นใจ	เมื่อออไวยคนเดียวไม่เอ็นดู
หากว่าหนีทันไม่บรรลัย	เขากลุ้มรุมกันไล่อ้ายหมาหมู่
ชวนกันข่มเหงไม่เกรงกู	ถ้าไปได้ไม่อยู่กูจะไป
จะต่อยหัวให้ยับเป็นสับปลา	โคตรแม่มึงน่าน้ำตาไหล
เหวยนางศรีมาลาว่าอย่างไร	ไปไหนไม่เห็นซึ่งหน้าตา
นางสร้อยสุดสวาดิของพ่อผัว	เล่นเนื้อเล่นตัวขึ้นหนักหนา
ยุยงส่งกันพ้นปัญญา	ได้หน้าสักแขนแล่นไปรับ
รู้เห็นเป็นใจด้วยกับมัน	หากออไวยหนีทันจึงได้กลับ
ถ้าหนีไม่ทันมันฟันยับ	นางลูกพ่อก็ขยับจะดีใจ
ไปรับเจ้าจอมมาพร้อมเพรียง	หัวมิเสี่ยงเพราะกูก็มิใช่
น้ำลายฟูมปากตำหมากไป	ยกสากถลากไถลลืมใส่ปูน ฯ
